input_id	tool	organism	id_system	n_pathways_returned	seconds	status
tcga_cancer__LIHC_DESeq2	gseapy_enrichr	human	symbol	50	0.01	ok
tcga_cancer__LIHC_DESeq2	clusterProfiler_ORA	human	symbol	50	2.46	ok
tcga_cancer__LIHC_edgeR	fgsea	human	symbol	50	1.7	ok
tcga_cancer__LIHC_edgeR	gseapy_enrichr	human	symbol	50	0.01	ok
tcga_cancer__LIHC_edgeR	clusterProfiler_ORA	human	symbol	50	2.51	ok
tcga_cancer__LIHC_limma	fgsea	human	symbol	50	1.97	ok
tcga_cancer__LIHC_limma	gseapy_enrichr	human	symbol	50	0.01	ok
tcga_cancer__LIHC_limma	clusterProfiler_ORA	human	symbol	50	2.47	ok
tcga_cancer__LUAD_DESeq2	fgsea	human	symbol	50	1.77	ok
tcga_cancer__LUAD_DESeq2	gseapy_enrichr	human	symbol	50	0.02	ok
tcga_cancer__LUAD_DESeq2	clusterProfiler_ORA	human	symbol	50	2.75	ok
tcga_cancer__LUAD_edgeR	fgsea	human	symbol	50	1.83	ok
tcga_cancer__LUAD_edgeR	gseapy_enrichr	human	symbol	50	0.01	ok
tcga_cancer__LUAD_edgeR	clusterProfiler_ORA	human	symbol	50	2.74	ok
tcga_cancer__LUAD_limma	fgsea	human	symbol	50	1.95	ok
tcga_cancer__LUAD_limma	gseapy_enrichr	human	symbol	50	0.01	ok
tcga_cancer__LUAD_limma	clusterProfiler_ORA	human	symbol	50	2.76	ok
tcga_cancer__LUSC_DESeq2	fgsea	human	symbol	50	1.87	ok
tcga_cancer__LUSC_DESeq2	gseapy_enrichr	human	symbol	50	0.01	ok
tcga_cancer__LUSC_DESeq2	clusterProfiler_ORA	human	symbol	50	2.75	ok
tcga_cancer__LUSC_edgeR	fgsea	human	symbol	50	1.97	ok
tcga_cancer__LUSC_edgeR	gseapy_enrichr	human	symbol	50	0.02	ok
tcga_cancer__LUSC_edgeR	clusterProfiler_ORA	human	symbol	50	2.75	ok
tcga_cancer__LUSC_limma	fgsea	human	symbol	50	2.05	ok
tcga_cancer__LUSC_limma	gseapy_enrichr	human	symbol	50	0.01	ok
tcga_cancer__LUSC_limma	clusterProfiler_ORA	human	symbol	50	2.74	ok
tcga_cancer__PRAD_DESeq2	fgsea	human	symbol	50	1.57	ok
tcga_cancer__PRAD_DESeq2	gseapy_enrichr	human	symbol	50	0.01	ok
