input_id	comparison_id	input_category	tool_a	tool_b	top_10_jaccard	top_25_jaccard	fdr05_overlap_jaccard	fdr01_overlap_jaccard	spearman_full_rank	pearson_neglog10padj	direction_agreement
census_scrna__67b6b9ac_wilcoxon	67b6b9ac	census_scrna	gseapy_enrichr	clusterProfiler_ORA	0.5384615384615384	1.0	0.7142857142857143	0.5714285714285714	0.9862975018145147	0.9937603426540055	0.88
census_scrna__6a270451_wilcoxon	6a270451	census_scrna	fgsea	gseapy_enrichr	0.3333333333333333	0.5151515151515151	0.16666666666666666	0.0	0.5140763713316515	0.6360318667823772	0.4
census_scrna__6a270451_wilcoxon	6a270451	census_scrna	fgsea	clusterProfiler_ORA	0.3333333333333333	0.5151515151515151	0.25	0.0	0.4562267090955818	0.6064247207755419	0.48
census_scrna__6a270451_wilcoxon	6a270451	census_scrna	gseapy_enrichr	clusterProfiler_ORA	0.8181818181818182	1.0	0.6666666666666666	0.3333333333333333	0.9628642743797541	0.9819807936670258	0.88
census_scrna__6f7fd0f1_pseudobulk	6f7fd0f1	census_scrna	fgsea	gseapy_enrichr	0.17647058823529413	0.35135135135135137	0.0	0.0			0.4
census_scrna__6f7fd0f1_pseudobulk	6f7fd0f1	census_scrna	fgsea	clusterProfiler_ORA	0.05263157894736842	0.42857142857142855	0.0	0.0	0.16719966458554203	0.12538815273054665	0.5
census_scrna__6f7fd0f1_pseudobulk	6f7fd0f1	census_scrna	gseapy_enrichr	clusterProfiler_ORA	0.05263157894736842	0.35135135135135137					0.82
census_scrna__6f7fd0f1_wilcoxon	6f7fd0f1	census_scrna	fgsea	gseapy_enrichr	0.8181818181818182	0.9230769230769231					0.48
census_scrna__6f7fd0f1_wilcoxon	6f7fd0f1	census_scrna	fgsea	clusterProfiler_ORA	0.0	0.21951219512195122			-0.07330011454391834	-0.004355943465044624	0.42
census_scrna__6f7fd0f1_wilcoxon	6f7fd0f1	census_scrna	gseapy_enrichr	clusterProfiler_ORA	0.0	0.21951219512195122					0.9
census_scrna__7b6bab5a_wilcoxon	7b6bab5a	census_scrna	fgsea	gseapy_enrichr	0.17647058823529413	0.3888888888888889	0.11764705882352941	0.08333333333333333	0.21164977648242614	0.25073051766506915	0.3
