dataset_id	cancer_type	cpm_threshold	min_samples	min_samples_abs	genes_retained	total_genes	tissue_specific_genes_present	tissue_specific_genes_retained	pct_tissue_specific_lost	downstream_deg_count
TCGA-UCEC	UCEC	1.0	abs_3	3	21873	59427	20	20	0.0	14258
TCGA-UCEC	UCEC	1.0	pct_10	9	19212	59427	20	20	0.0	12607
TCGA-UCEC	UCEC	1.0	pct_25	21	17293	59427	20	20	0.0	11377
TCGA-UCEC	UCEC	2.0	abs_1	1	22090	59427	20	20	0.0	14643
TCGA-UCEC	UCEC	2.0	abs_2	2	20046	59427	20	20	0.0	13510
TCGA-UCEC	UCEC	2.0	abs_3	3	19131	59427	20	20	0.0	12904
TCGA-UCEC	UCEC	2.0	pct_10	9	17121	59427	20	20	0.0	11352
TCGA-UCEC	UCEC	2.0	pct_25	21	15499	59427	20	18	10.0	10357
TCGA-UCEC	UCEC	5.0	abs_1	1	18462	59427	20	20	0.0	12440
TCGA-UCEC	UCEC	5.0	abs_2	2	17083	59427	20	20	0.0	11474
TCGA-UCEC	UCEC	5.0	abs_3	3	16440	59427	20	20	0.0	11023
