dataset_id	cancer_type	cpm_threshold	min_samples	min_samples_abs	genes_retained	total_genes	tissue_specific_genes_present	tissue_specific_genes_retained	pct_tissue_specific_lost	downstream_deg_count
TCGA-KICH	KICH	1.0	abs_3	3	19806	59427	20	20	0.0	13946
TCGA-KICH	KICH	1.0	pct_10	8	18201	59427	20	20	0.0	12836
TCGA-KICH	KICH	1.0	pct_25	19	16460	59427	20	20	0.0	11560
TCGA-KICH	KICH	2.0	abs_1	1	20013	59427	20	20	0.0	14019
TCGA-KICH	KICH	2.0	abs_2	2	18359	59427	20	20	0.0	12910
TCGA-KICH	KICH	2.0	abs_3	3	17685	59427	20	20	0.0	12497
TCGA-KICH	KICH	2.0	pct_10	8	16248	59427	20	20	0.0	11532
TCGA-KICH	KICH	2.0	pct_25	19	14734	59427	20	20	0.0	10358
TCGA-KICH	KICH	5.0	abs_1	1	17085	59427	20	20	0.0	12084
TCGA-KICH	KICH	5.0	abs_2	2	15781	59427	20	20	0.0	11196
TCGA-KICH	KICH	5.0	abs_3	3	15139	59427	20	20	0.0	10755
TCGA-KICH	KICH	5.0	pct_10	8	13944	59427	20	20	0.0	9941
TCGA-KICH	KICH	5.0	pct_25	19	12719	59427	20	16	20.0	9003
TCGA-KICH	KICH	10.0	abs_1	1	15050	59427	20	20	0.0	10718
TCGA-KICH	KICH	10.0	abs_2	2	13897	59427	20	20	0.0	9873
TCGA-KICH	KICH	10.0	abs_3	3	13370	59427	20	20	0.0	9575
TCGA-KICH	KICH	10.0	pct_10	8	12227	59427	20	20	0.0	8802
TCGA-KICH	KICH	10.0	pct_25	19	11028	59427	20	14	30.0	7868
TCGA-BLCA	BLCA	0.1	abs_1	1	39376	59427	20	20	0.0	14996
TCGA-BLCA	BLCA	0.1	abs_2	2	34307	59427	20	20	0.0	13943
TCGA-BLCA	BLCA	0.1	abs_3	3	32360	59427	20	20	0.0	13416
TCGA-BLCA	BLCA	0.1	pct_10	7	28793	59427	20	20	0.0	12222
TCGA-BLCA	BLCA	0.1	pct_25	17	25045	59427	20	20	0.0	10807
TCGA-BLCA	BLCA	0.5	abs_1	1	28428	59427	20	20	0.0	12570
TCGA-BLCA	BLCA	0.5	abs_2	2	24902	59427	20	20	0.0	11171
TCGA-BLCA	BLCA	0.5	abs_3	3	23663	59427	20	20	0.0	10694
TCGA-BLCA	BLCA	0.5	pct_10	7	21217	59427	20	20	0.0	10075
TCGA-BLCA	BLCA	0.5	pct_25	17	18676	59427	20	20	0.0	8568
TCGA-BLCA	BLCA	1.0	abs_1	1	24469	59427	20	20	0.0	11228
TCGA-BLCA	BLCA	1.0	abs_2	2	21730	59427	20	20	0.0	10068
TCGA-BLCA	BLCA	1.0	abs_3	3	20650	59427	20	20	0.0	9825
TCGA-BLCA	BLCA	1.0	pct_10	7	18668	59427	20	20	0.0	8660
TCGA-BLCA	BLCA	1.0	pct_25	17	16663	59427	20	20	0.0	7667
TCGA-BLCA	BLCA	2.0	abs_1	1	21216	59427	20	20	0.0	10239
TCGA-BLCA	BLCA	2.0	abs_2	2	19096	59427	20	20	0.0	9300
TCGA-BLCA	BLCA	2.0	abs_3	3	18266	59427	20	20	0.0	8547
TCGA-BLCA	BLCA	2.0	pct_10	7	16602	59427	20	20	0.0	7737
TCGA-BLCA	BLCA	2.0	pct_25	17	14951	59427	20	20	0.0	6964
TCGA-BLCA	BLCA	5.0	abs_1	1	17814	59427	20	20	0.0	8628
TCGA-BLCA	BLCA	5.0	abs_2	2	16319	59427	20	20	0.0	7905
TCGA-BLCA	BLCA	5.0	abs_3	3	15656	59427	20	20	0.0	7555
TCGA-BLCA	BLCA	5.0	pct_10	7	14394	59427	20	20	0.0	6848
TCGA-BLCA	BLCA	5.0	pct_25	17	12975	59427	20	20	0.0	6195
TCGA-BLCA	BLCA	10.0	abs_1	1	15789	59427	20	20	0.0	7750
TCGA-BLCA	BLCA	10.0	abs_2	2	14502	59427	20	20	0.0	7004
TCGA-BLCA	BLCA	10.0	abs_3	3	13923	59427	20	20	0.0	6689
TCGA-BLCA	BLCA	10.0	pct_10	7	12770	59427	20	20	0.0	6163
TCGA-BLCA	BLCA	10.0	pct_25	17	11386	59427	20	20	0.0	5411
TCGA-ESCA	ESCA	0.1	abs_1	1	45904	59427	19	19	0.0	11562
TCGA-ESCA	ESCA	0.1	abs_2	2	40884	59427	19	19	0.0	10052
TCGA-ESCA	ESCA	0.1	abs_3	3	38321	59427	19	19	0.0	9666
TCGA-ESCA	ESCA	0.1	pct_10	7	33645	59427	19	19	0.0	9095
TCGA-ESCA	ESCA	0.1	pct_25	16	29068	59427	19	19	0.0	8385
TCGA-ESCA	ESCA	0.5	abs_1	1	31927	59427	19	19	0.0	9548
TCGA-ESCA	ESCA	0.5	abs_2	2	27829	59427	19	19	0.0	8542
TCGA-ESCA	ESCA	0.5	abs_3	3	26148	59427	19	19	0.0	8256
TCGA-ESCA	ESCA	0.5	pct_10	7	23049	59427	19	19	0.0	7616
TCGA-ESCA	ESCA	0.5	pct_25	16	20100	59427	19	19	0.0	6731
TCGA-ESCA	ESCA	1.0	abs_1	1	26446	59427	19	19	0.0	8524
TCGA-ESCA	ESCA	1.0	abs_2	2	23416	59427	19	19	0.0	7756
TCGA-ESCA	ESCA	1.0	abs_3	3	22129	59427	19	19	0.0	7503
TCGA-ESCA	ESCA	1.0	pct_10	7	19754	59427	19	19	0.0	6800
TCGA-ESCA	ESCA	1.0	pct_25	16	17436	59427	19	18	5.3	6081
TCGA-ESCA	ESCA	2.0	abs_1	1	22234	59427	19	19	0.0	7601
TCGA-ESCA	ESCA	2.0	abs_2	2	20004	59427	19	19	0.0	6958
TCGA-ESCA	ESCA	2.0	abs_3	3	19012	59427	19	19	0.0	6694
TCGA-ESCA	ESCA	2.0	pct_10	7	17198	59427	19	19	0.0	6129
TCGA-ESCA	ESCA	2.0	pct_25	16	15356	59427	19	18	5.3	5491
TCGA-ESCA	ESCA	5.0	abs_1	1	18216	59427	19	19	0.0	6527
TCGA-ESCA	ESCA	5.0	abs_2	2	16701	59427	19	19	0.0	6070
TCGA-ESCA	ESCA	5.0	abs_3	3	16033	59427	19	19	0.0	5884
TCGA-ESCA	ESCA	5.0	pct_10	7	14604	59427	19	19	0.0	5332
TCGA-ESCA	ESCA	5.0	pct_25	16	13090	59427	19	18	5.3	4805
TCGA-ESCA	ESCA	10.0	abs_1	1	16005	59427	19	19	0.0	5848
TCGA-ESCA	ESCA	10.0	abs_2	2	14753	59427	19	19	0.0	5444
TCGA-ESCA	ESCA	10.0	abs_3	3	14093	59427	19	19	0.0	5216
TCGA-ESCA	ESCA	10.0	pct_10	7	12798	59427	19	19	0.0	4746
TCGA-ESCA	ESCA	10.0	pct_25	16	11405	59427	19	18	5.3	4273
TCGA-READ	READ	0.1	abs_1	1	36529	59427	20	20	0.0	15553
TCGA-READ	READ	0.1	abs_2	2	33073	59427	20	20	0.0	15066
TCGA-READ	READ	0.1	abs_3	3	31344	59427	20	20	0.0	14722
TCGA-READ	READ	0.1	pct_10	6	28688	59427	20	20	0.0	13932
TCGA-READ	READ	0.1	pct_25	15	24936	59427	20	20	0.0	12539
TCGA-READ	READ	0.5	abs_1	1	25400	59427	20	20	0.0	13174
TCGA-READ	READ	0.5	abs_2	2	23437	59427	20	20	0.0	12532
TCGA-READ	READ	0.5	abs_3	3	22475	59427	20	20	0.0	12102
TCGA-READ	READ	0.5	pct_10	6	20787	59427	20	20	0.0	11301
TCGA-READ	READ	0.5	pct_25	15	18450	59427	20	19	5.0	9969
TCGA-READ	READ	1.0	abs_1	1	22059	59427	20	20	0.0	11835
TCGA-READ	READ	1.0	abs_2	2	20419	59427	20	20	0.0	11104
TCGA-READ	READ	1.0	abs_3	3	19639	59427	20	20	0.0	10662
TCGA-READ	READ	1.0	pct_10	6	18320	59427	20	20	0.0	10030
TCGA-READ	READ	1.0	pct_25	15	16434	59427	20	19	5.0	8789
TCGA-READ	READ	2.0	abs_1	1	19292	59427	20	20	0.0	10596
TCGA-READ	READ	2.0	abs_2	2	18044	59427	20	20	0.0	9961
TCGA-READ	READ	2.0	abs_3	3	17343	59427	20	20	0.0	9452
TCGA-READ	READ	2.0	pct_10	6	16237	59427	20	20	0.0	8836
TCGA-READ	READ	2.0	pct_25	15	14730	59427	20	19	5.0	7875
TCGA-READ	READ	5.0	abs_1	1	16406	59427	20	20	0.0	8936
TCGA-READ	READ	5.0	abs_2	2	15393	59427	20	20	0.0	8469
TCGA-READ	READ	5.0	abs_3	3	14896	59427	20	20	0.0	8164
TCGA-READ	READ	5.0	pct_10	6	14092	59427	20	20	0.0	7660
TCGA-READ	READ	5.0	pct_25	15	12726	59427	20	18	10.0	6747
TCGA-READ	READ	10.0	abs_1	1	14503	59427	20	20	0.0	7940
TCGA-READ	READ	10.0	abs_2	2	13592	59427	20	20	0.0	7375
TCGA-READ	READ	10.0	abs_3	3	13162	59427	20	20	0.0	7122
TCGA-READ	READ	10.0	pct_10	6	12365	59427	20	20	0.0	6675
TCGA-READ	READ	10.0	pct_25	15	11131	59427	20	17	15.0	5890
