input_id	database	organism	id_system	n_pathways_returned	seconds	status
tcga_cancer__KIRC_limma	hallmark	human	symbol	50	1.92	ok
tcga_cancer__KIRC_limma	c2_kegg	human	symbol	186	1.59	ok
tcga_cancer__KIRC_limma	c2_reactome	human	symbol	1769	2.32	ok
tcga_cancer__KIRC_limma	c2_wikipathways	human	symbol	913	1.75	ok
tcga_cancer__KIRC_limma	c5_go_bp	human	symbol	7005	5.91	ok
tcga_cancer__KIRP_DESeq2	hallmark	human	symbol	50	1.51	ok
tcga_cancer__KIRP_DESeq2	c2_kegg	human	symbol	186	1.52	ok
tcga_cancer__KIRP_DESeq2	c2_reactome	human	symbol	1777	2.14	ok
tcga_cancer__KIRP_DESeq2	c2_wikipathways	human	symbol	916	1.71	ok
tcga_cancer__KIRP_DESeq2	c5_go_bp	human	symbol	7007	4.3	ok
tcga_cancer__KIRP_edgeR	hallmark	human	symbol	50	1.5	ok
tcga_cancer__KIRP_edgeR	c2_kegg	human	symbol	186	1.52	ok
tcga_cancer__KIRP_edgeR	c2_reactome	human	symbol	1777	2.19	ok
tcga_cancer__KIRP_edgeR	c2_wikipathways	human	symbol	916	1.72	ok
tcga_cancer__KIRP_edgeR	c5_go_bp	human	symbol	7007	4.41	ok
tcga_cancer__KIRP_limma	hallmark	human	symbol	50	1.6	ok
tcga_cancer__KIRP_limma	c2_kegg	human	symbol	186	1.57	ok
tcga_cancer__KIRP_limma	c2_reactome	human	symbol	1777	2.24	ok
tcga_cancer__KIRP_limma	c2_wikipathways	human	symbol	916	1.76	ok
tcga_cancer__KIRP_limma	c5_go_bp	human	symbol	7007	4.33	ok
tcga_cancer__LIHC_DESeq2	hallmark	human	symbol	50	1.81	ok
tcga_cancer__LIHC_DESeq2	c2_kegg	human	symbol	186	1.54	ok
tcga_cancer__LIHC_DESeq2	c2_reactome	human	symbol	1767	2.3	ok
tcga_cancer__LIHC_DESeq2	c2_wikipathways	human	symbol	915	1.74	ok
tcga_cancer__LIHC_DESeq2	c5_go_bp	human	symbol	6923	5.36	ok
tcga_cancer__LIHC_edgeR	hallmark	human	symbol	50	1.67	ok
tcga_cancer__LIHC_edgeR	c2_kegg	human	symbol	186	1.51	ok
tcga_cancer__LIHC_edgeR	c2_reactome	human	symbol	1767	2.25	ok
tcga_cancer__LIHC_edgeR	c2_wikipathways	human	symbol	915	1.74	ok
tcga_cancer__LIHC_edgeR	c5_go_bp	human	symbol	6923	4.36	ok
tcga_cancer__LIHC_limma	hallmark	human	symbol	50	1.94	ok
tcga_cancer__LIHC_limma	c2_kegg	human	symbol	186	1.57	ok
tcga_cancer__LIHC_limma	c2_reactome	human	symbol	1767	2.71	ok
tcga_cancer__LIHC_limma	c2_wikipathways	human	symbol	915	1.85	ok
tcga_cancer__LIHC_limma	c5_go_bp	human	symbol	6923	6.58	ok
tcga_cancer__LUAD_DESeq2	hallmark	human	symbol	50	1.75	ok
tcga_cancer__LUAD_DESeq2	c2_kegg	human	symbol	186	1.58	ok
tcga_cancer__LUAD_DESeq2	c2_reactome	human	symbol	1782	2.65	ok
tcga_cancer__LUAD_DESeq2	c2_wikipathways	human	symbol	915	1.84	ok
tcga_cancer__LUAD_DESeq2	c5_go_bp	human	symbol	7059	5.32	ok
tcga_cancer__LUAD_edgeR	hallmark	human	symbol	50	1.83	ok
tcga_cancer__LUAD_edgeR	c2_kegg	human	symbol	186	1.6	ok
tcga_cancer__LUAD_edgeR	c2_reactome	human	symbol	1782	2.38	ok
tcga_cancer__LUAD_edgeR	c2_wikipathways	human	symbol	915	1.92	ok
tcga_cancer__LUAD_edgeR	c5_go_bp	human	symbol	7059	5.46	ok
tcga_cancer__LUAD_limma	hallmark	human	symbol	50	1.9	ok
tcga_cancer__LUAD_limma	c2_kegg	human	symbol	186	1.57	ok
tcga_cancer__LUAD_limma	c2_reactome	human	symbol	1782	3.11	ok
tcga_cancer__LUAD_limma	c2_wikipathways	human	symbol	915	1.93	ok
tcga_cancer__LUAD_limma	c5_go_bp	human	symbol	7059	5.84	ok
tcga_cancer__LUSC_DESeq2	hallmark	human	symbol	50	1.84	ok
tcga_cancer__LUSC_DESeq2	c2_kegg	human	symbol	186	1.59	ok
tcga_cancer__LUSC_DESeq2	c2_reactome	human	symbol	1783	2.51	ok
tcga_cancer__LUSC_DESeq2	c2_wikipathways	human	symbol	915	1.85	ok
tcga_cancer__LUSC_DESeq2	c5_go_bp	human	symbol	7041	5.84	ok
tcga_cancer__LUSC_edgeR	hallmark	human	symbol	50	1.99	ok
tcga_cancer__LUSC_edgeR	c2_kegg	human	symbol	186	1.62	ok
tcga_cancer__LUSC_edgeR	c2_reactome	human	symbol	1783	2.58	ok
tcga_cancer__LUSC_edgeR	c2_wikipathways	human	symbol	915	1.92	ok
tcga_cancer__LUSC_edgeR	c5_go_bp	human	symbol	7041	6.27	ok
tcga_cancer__LUSC_limma	hallmark	human	symbol	50	2.03	ok
tcga_cancer__LUSC_limma	c2_kegg	human	symbol	186	1.62	ok
tcga_cancer__LUSC_limma	c2_reactome	human	symbol	1783	3.34	ok
tcga_cancer__LUSC_limma	c2_wikipathways	human	symbol	915	1.97	ok
tcga_cancer__LUSC_limma	c5_go_bp	human	symbol	7041	7.11	ok
tcga_cancer__PRAD_DESeq2	hallmark	human	symbol	50	1.58	ok
tcga_cancer__PRAD_DESeq2	c2_kegg	human	symbol	186	1.55	ok
tcga_cancer__PRAD_DESeq2	c2_reactome	human	symbol	1765	2.72	ok
tcga_cancer__PRAD_DESeq2	c2_wikipathways	human	symbol	911	1.81	ok
tcga_cancer__PRAD_DESeq2	c5_go_bp	human	symbol	6979	4.83	ok
tcga_cancer__PRAD_edgeR	hallmark	human	symbol	50	1.58	ok
tcga_cancer__PRAD_edgeR	c2_kegg	human	symbol	186	1.57	ok
tcga_cancer__PRAD_edgeR	c2_reactome	human	symbol	1765	2.58	ok
tcga_cancer__PRAD_edgeR	c2_wikipathways	human	symbol	911	1.86	ok
tcga_cancer__PRAD_edgeR	c5_go_bp	human	symbol	6979	4.65	ok
tcga_cancer__PRAD_limma	hallmark	human	symbol	50	1.59	ok
tcga_cancer__PRAD_limma	c2_kegg	human	symbol	186	1.56	ok
tcga_cancer__PRAD_limma	c2_reactome	human	symbol	1765	2.57	ok
tcga_cancer__PRAD_limma	c2_wikipathways	human	symbol	911	1.86	ok
tcga_cancer__PRAD_limma	c5_go_bp	human	symbol	6979	5.02	ok
tcga_cancer__READ_DESeq2	hallmark	human	symbol	50	1.48	ok
tcga_cancer__READ_DESeq2	c2_kegg	human	symbol	186	1.55	ok
tcga_cancer__READ_DESeq2	c2_reactome	human	symbol	1770	2.21	ok
tcga_cancer__READ_DESeq2	c2_wikipathways	human	symbol	913	1.79	ok
tcga_cancer__READ_DESeq2	c5_go_bp	human	symbol	6964	4.51	ok
tcga_cancer__READ_edgeR	hallmark	human	symbol	50	1.59	ok
tcga_cancer__READ_edgeR	c2_kegg	human	symbol	186	1.57	ok
tcga_cancer__READ_edgeR	c2_reactome	human	symbol	1770	2.21	ok
