input_id	input_category	database	n_pathways_returned	n_sig_padj_05	n_sig_padj_01	frac_sig_padj_05	median_abs_NES_sig
tcga_cancer__COAD_edgeR	tcga_cancer	c5_go_bp	6976	1121	671	0.1607	1.75362501580698
tcga_cancer__COAD_limma	tcga_cancer	hallmark	50	27	24	0.54	1.67015996671291
tcga_cancer__COAD_limma	tcga_cancer	c2_kegg	186	86	65	0.4624	1.754043539764475
tcga_cancer__COAD_limma	tcga_cancer	c2_reactome	1772	510	381	0.2878	1.8659952045344
tcga_cancer__COAD_limma	tcga_cancer	c2_wikipathways	917	160	83	0.1745	1.738622498695525
tcga_cancer__COAD_limma	tcga_cancer	c5_go_bp	6976	1246	730	0.1786	1.7216051019915501
tcga_cancer__ESCA_DESeq2	tcga_cancer	hallmark	50	32	24	0.64	1.74775666876717
tcga_cancer__ESCA_DESeq2	tcga_cancer	c2_kegg	186	52	40	0.2796	1.81031353810859
tcga_cancer__ESCA_DESeq2	tcga_cancer	c2_reactome	1780	500	401	0.2809	1.96298611626703
tcga_cancer__ESCA_DESeq2	tcga_cancer	c2_wikipathways	914	146	86	0.1597	1.8043743860810149
tcga_cancer__ESCA_DESeq2	tcga_cancer	c5_go_bp	7036	1008	639	0.1433	1.754384182158935
tcga_cancer__ESCA_edgeR	tcga_cancer	hallmark	50	32	19	0.64	1.681607533738885
tcga_cancer__ESCA_edgeR	tcga_cancer	c2_kegg	186	61	42	0.328	1.74174978042313
tcga_cancer__ESCA_edgeR	tcga_cancer	c2_reactome	1780	544	418	0.3056	1.9866902212205249
tcga_cancer__ESCA_edgeR	tcga_cancer	c2_wikipathways	914	133	87	0.1455	1.84702720505155
tcga_cancer__ESCA_edgeR	tcga_cancer	c5_go_bp	7036	997	665	0.1417	1.81250969381381
tcga_cancer__ESCA_limma	tcga_cancer	hallmark	50	35	30	0.7	1.73806025845284
tcga_cancer__ESCA_limma	tcga_cancer	c2_kegg	186	59	41	0.3172	1.80615751287494
tcga_cancer__ESCA_limma	tcga_cancer	c2_reactome	1780	579	463	0.3253	2.01972937102086
tcga_cancer__ESCA_limma	tcga_cancer	c2_wikipathways	914	176	88	0.1926	1.778667862237425
tcga_cancer__ESCA_limma	tcga_cancer	c5_go_bp	7036	1165	737	0.1656	1.78093914082643
tcga_cancer__HNSC_DESeq2	tcga_cancer	hallmark	50	28	21	0.56	1.743887791905245
tcga_cancer__HNSC_DESeq2	tcga_cancer	c2_kegg	186	50	38	0.2688	1.838848724573085
tcga_cancer__HNSC_DESeq2	tcga_cancer	c2_reactome	1767	338	236	0.1913	1.8059462690376051
tcga_cancer__HNSC_DESeq2	tcga_cancer	c2_wikipathways	912	118	66	0.1294	1.769402912902255
tcga_cancer__HNSC_DESeq2	tcga_cancer	c5_go_bp	7017	557	311	0.0794	1.76363354702952
tcga_cancer__HNSC_edgeR	tcga_cancer	hallmark	50	26	20	0.52	1.8338442914190352
tcga_cancer__HNSC_edgeR	tcga_cancer	c2_kegg	186	61	41	0.328	1.79101588676376
tcga_cancer__HNSC_edgeR	tcga_cancer	c2_reactome	1767	366	262	0.2071	1.829074161216445
tcga_cancer__HNSC_edgeR	tcga_cancer	c2_wikipathways	912	106	66	0.1162	1.82949089611967
tcga_cancer__HNSC_edgeR	tcga_cancer	c5_go_bp	7017	573	311	0.0817	1.7894093621596
