input_id	input_category	db_a	db_b	leading_edge_gene_jaccard_sig05	n_sig_pathway_names_shared	direction_concordance_on_shared	n_genes_unique_to_a	n_genes_unique_to_b	n_sig_genes_a	n_sig_genes_b
tcga_cancer__BRCA_limma	tcga_cancer	c2_kegg	c2_reactome	0.2666	0		308	2058	1168	2918
tcga_cancer__BRCA_limma	tcga_cancer	c2_kegg	c2_wikipathways	0.3404	0		400	1088	1168	1856
tcga_cancer__BRCA_limma	tcga_cancer	c2_kegg	c5_go_bp	0.2004	0		165	3836	1168	4839
tcga_cancer__BRCA_limma	tcga_cancer	c2_reactome	c2_wikipathways	0.3448	0		1694	632	2918	1856
tcga_cancer__BRCA_limma	tcga_cancer	c2_reactome	c5_go_bp	0.4416	0		542	2463	2918	4839
tcga_cancer__BRCA_limma	tcga_cancer	c2_wikipathways	c5_go_bp	0.3138	0		257	3240	1856	4839
tcga_cancer__COAD_DESeq2	tcga_cancer	hallmark	c2_kegg	0.1936	0		638	703	960	1025
tcga_cancer__COAD_DESeq2	tcga_cancer	hallmark	c2_reactome	0.1867	0		438	1836	960	2358
tcga_cancer__COAD_DESeq2	tcga_cancer	hallmark	c2_wikipathways	0.1861	0		598	985	960	1347
tcga_cancer__COAD_DESeq2	tcga_cancer	hallmark	c5_go_bp	0.1766	0		205	3316	960	4071
tcga_cancer__COAD_DESeq2	tcga_cancer	c2_kegg	c2_reactome	0.2839	0		277	1610	1025	2358
tcga_cancer__COAD_DESeq2	tcga_cancer	c2_kegg	c2_wikipathways	0.3863	0		364	686	1025	1347
tcga_cancer__COAD_DESeq2	tcga_cancer	c2_kegg	c5_go_bp	0.2154	0		122	3168	1025	4071
tcga_cancer__COAD_DESeq2	tcga_cancer	c2_reactome	c2_wikipathways	0.3356	0		1427	416	2358	1347
tcga_cancer__COAD_DESeq2	tcga_cancer	c2_reactome	c5_go_bp	0.4233	0		446	2159	2358	4071
tcga_cancer__COAD_DESeq2	tcga_cancer	c2_wikipathways	c5_go_bp	0.2629	0		219	2943	1347	4071
tcga_cancer__COAD_edgeR	tcga_cancer	hallmark	c2_kegg	0.2229	0		711	844	1157	1290
tcga_cancer__COAD_edgeR	tcga_cancer	hallmark	c2_reactome	0.2061	0		468	2186	1157	2875
tcga_cancer__COAD_edgeR	tcga_cancer	hallmark	c2_wikipathways	0.208	0		670	1184	1157	1671
tcga_cancer__COAD_edgeR	tcga_cancer	hallmark	c5_go_bp	0.1845	0		219	3926	1157	4864
tcga_cancer__COAD_edgeR	tcga_cancer	c2_kegg	c2_reactome	0.2871	0		361	1946	1290	2875
tcga_cancer__COAD_edgeR	tcga_cancer	c2_kegg	c2_wikipathways	0.3843	0		468	849	1290	1671
tcga_cancer__COAD_edgeR	tcga_cancer	c2_kegg	c5_go_bp	0.2308	0		136	3710	1290	4864
tcga_cancer__COAD_edgeR	tcga_cancer	c2_reactome	c2_wikipathways	0.3578	0		1677	473	2875	1671
tcga_cancer__COAD_edgeR	tcga_cancer	c2_reactome	c5_go_bp	0.4401	0		510	2499	2875	4864
tcga_cancer__COAD_edgeR	tcga_cancer	c2_wikipathways	c5_go_bp	0.2877	0		211	3404	1671	4864
tcga_cancer__COAD_limma	tcga_cancer	hallmark	c2_kegg	0.2572	0		795	814	1352	1371
tcga_cancer__COAD_limma	tcga_cancer	hallmark	c2_reactome	0.2255	0		559	2164	1352	2957
tcga_cancer__COAD_limma	tcga_cancer	hallmark	c2_wikipathways	0.253	0		688	1273	1352	1937
tcga_cancer__COAD_limma	tcga_cancer	hallmark	c5_go_bp	0.2077	0		210	4145	1352	5287
tcga_cancer__COAD_limma	tcga_cancer	c2_kegg	c2_reactome	0.297	0		380	1966	1371	2957
tcga_cancer__COAD_limma	tcga_cancer	c2_kegg	c2_wikipathways	0.4023	0		422	988	1371	1937
tcga_cancer__COAD_limma	tcga_cancer	c2_kegg	c5_go_bp	0.2309	0		122	4038	1371	5287
tcga_cancer__COAD_limma	tcga_cancer	c2_reactome	c2_wikipathways	0.3579	0		1667	647	2957	1937
tcga_cancer__COAD_limma	tcga_cancer	c2_reactome	c5_go_bp	0.4243	0		501	2831	2957	5287
