pathway_id	pathway_name	gene_entrez
R-MMU-1266738	Mus musculus: Developmental Biology	14573
R-MMU-1266738	Mus musculus: Developmental Biology	14585
R-MMU-1266738	Mus musculus: Developmental Biology	14586
R-MMU-1266738	Mus musculus: Developmental Biology	14587
R-MMU-1266738	Mus musculus: Developmental Biology	14588
R-MMU-1266738	Mus musculus: Developmental Biology	14733
R-MMU-1266738	Mus musculus: Developmental Biology	14783
R-MMU-1266738	Mus musculus: Developmental Biology	14784
R-MMU-1266738	Mus musculus: Developmental Biology	14786
R-MMU-1266738	Mus musculus: Developmental Biology	14810
R-MMU-1266738	Mus musculus: Developmental Biology	14812
R-MMU-1266738	Mus musculus: Developmental Biology	15183
R-MMU-1266738	Mus musculus: Developmental Biology	15254
R-MMU-1266738	Mus musculus: Developmental Biology	15461
R-MMU-1266738	Mus musculus: Developmental Biology	15516
R-MMU-1266738	Mus musculus: Developmental Biology	15519
R-MMU-1266738	Mus musculus: Developmental Biology	15529
R-MMU-1266738	Mus musculus: Developmental Biology	16399
R-MMU-1266738	Mus musculus: Developmental Biology	16402
R-MMU-1266738	Mus musculus: Developmental Biology	16410
R-MMU-1266738	Mus musculus: Developmental Biology	16412
R-MMU-1266738	Mus musculus: Developmental Biology	16416
R-MMU-1266738	Mus musculus: Developmental Biology	16443
R-MMU-1266738	Mus musculus: Developmental Biology	16480
R-MMU-1266738	Mus musculus: Developmental Biology	16571
R-MMU-1266738	Mus musculus: Developmental Biology	16590
R-MMU-1266738	Mus musculus: Developmental Biology	16653
R-MMU-1266738	Mus musculus: Developmental Biology	16660
R-MMU-1266738	Mus musculus: Developmental Biology	16661
R-MMU-1266738	Mus musculus: Developmental Biology	16663
R-MMU-1266738	Mus musculus: Developmental Biology	16664
R-MMU-1266738	Mus musculus: Developmental Biology	16665
R-MMU-1266738	Mus musculus: Developmental Biology	16666
R-MMU-1266738	Mus musculus: Developmental Biology	16667
R-MMU-1266738	Mus musculus: Developmental Biology	16668
R-MMU-1266738	Mus musculus: Developmental Biology	16669
R-MMU-1266738	Mus musculus: Developmental Biology	16670
R-MMU-1266738	Mus musculus: Developmental Biology	16671
R-MMU-1266738	Mus musculus: Developmental Biology	16672
R-MMU-1266738	Mus musculus: Developmental Biology	16673
R-MMU-1266738	Mus musculus: Developmental Biology	16675
R-MMU-1266738	Mus musculus: Developmental Biology	16678
R-MMU-1266738	Mus musculus: Developmental Biology	16679
R-MMU-1266738	Mus musculus: Developmental Biology	16680
R-MMU-1266738	Mus musculus: Developmental Biology	16681
R-MMU-1266738	Mus musculus: Developmental Biology	16682
R-MMU-1266738	Mus musculus: Developmental Biology	16687
R-MMU-1266738	Mus musculus: Developmental Biology	16691
R-MMU-1266738	Mus musculus: Developmental Biology	16693
R-MMU-1266738	Mus musculus: Developmental Biology	16694
R-MMU-1266738	Mus musculus: Developmental Biology	16697
R-MMU-1266738	Mus musculus: Developmental Biology	16699
R-MMU-1266738	Mus musculus: Developmental Biology	16700
R-MMU-1266738	Mus musculus: Developmental Biology	16703
R-MMU-1266738	Mus musculus: Developmental Biology	16704
R-MMU-1266738	Mus musculus: Developmental Biology	16705
R-MMU-1266738	Mus musculus: Developmental Biology	16769
R-MMU-1266738	Mus musculus: Developmental Biology	16842
R-MMU-1266738	Mus musculus: Developmental Biology	16885
R-MMU-1266738	Mus musculus: Developmental Biology	170651
R-MMU-1266738	Mus musculus: Developmental Biology	170654
R-MMU-1266738	Mus musculus: Developmental Biology	170822
R-MMU-1266738	Mus musculus: Developmental Biology	17096
R-MMU-1266738	Mus musculus: Developmental Biology	17126
R-MMU-1266738	Mus musculus: Developmental Biology	17127
R-MMU-1266738	Mus musculus: Developmental Biology	17128
R-MMU-1266738	Mus musculus: Developmental Biology	171531
R-MMU-1266738	Mus musculus: Developmental Biology	17169
R-MMU-1266738	Mus musculus: Developmental Biology	17260
R-MMU-1266738	Mus musculus: Developmental Biology	17261
R-MMU-1266738	Mus musculus: Developmental Biology	17311
R-MMU-1266738	Mus musculus: Developmental Biology	17342
R-MMU-1266738	Mus musculus: Developmental Biology	17390
R-MMU-1266738	Mus musculus: Developmental Biology	17395
R-MMU-1266738	Mus musculus: Developmental Biology	17698
R-MMU-1266738	Mus musculus: Developmental Biology	17877
R-MMU-1266738	Mus musculus: Developmental Biology	17878
R-MMU-1266738	Mus musculus: Developmental Biology	17918
R-MMU-1266738	Mus musculus: Developmental Biology	17927
R-MMU-1266738	Mus musculus: Developmental Biology	17928
R-MMU-1266738	Mus musculus: Developmental Biology	17967
R-MMU-1266738	Mus musculus: Developmental Biology	17973
R-MMU-1266738	Mus musculus: Developmental Biology	17974
R-MMU-1266738	Mus musculus: Developmental Biology	18186
R-MMU-1266738	Mus musculus: Developmental Biology	18188
R-MMU-1266738	Mus musculus: Developmental Biology	18222
R-MMU-1266738	Mus musculus: Developmental Biology	18481
R-MMU-1266738	Mus musculus: Developmental Biology	18643
R-MMU-1266738	Mus musculus: Developmental Biology	18645
R-MMU-1266738	Mus musculus: Developmental Biology	18706
R-MMU-1266738	Mus musculus: Developmental Biology	18707
R-MMU-1266738	Mus musculus: Developmental Biology	18708
R-MMU-1266738	Mus musculus: Developmental Biology	18709
R-MMU-1266738	Mus musculus: Developmental Biology	18710
R-MMU-1266738	Mus musculus: Developmental Biology	18717
R-MMU-1266738	Mus musculus: Developmental Biology	18747
R-MMU-1266738	Mus musculus: Developmental Biology	18749
R-MMU-1266738	Mus musculus: Developmental Biology	18750
R-MMU-1266738	Mus musculus: Developmental Biology	18803
R-MMU-1266738	Mus musculus: Developmental Biology	18844
R-MMU-1266738	Mus musculus: Developmental Biology	18845
R-MMU-1266738	Mus musculus: Developmental Biology	18846
R-MMU-1266738	Mus musculus: Developmental Biology	19016
R-MMU-1266738	Mus musculus: Developmental Biology	19041
R-MMU-1266738	Mus musculus: Developmental Biology	19094
R-MMU-1266738	Mus musculus: Developmental Biology	19164
R-MMU-1266738	Mus musculus: Developmental Biology	19165
R-MMU-1266738	Mus musculus: Developmental Biology	19247
R-MMU-1266738	Mus musculus: Developmental Biology	19262
R-MMU-1266738	Mus musculus: Developmental Biology	19264
R-MMU-1266738	Mus musculus: Developmental Biology	19353
R-MMU-1266738	Mus musculus: Developmental Biology	19401
R-MMU-1266738	Mus musculus: Developmental Biology	19684
R-MMU-1266738	Mus musculus: Developmental Biology	19699
R-MMU-1266738	Mus musculus: Developmental Biology	19713
R-MMU-1266738	Mus musculus: Developmental Biology	19876
R-MMU-1266738	Mus musculus: Developmental Biology	19878
R-MMU-1266738	Mus musculus: Developmental Biology	20111
R-MMU-1266738	Mus musculus: Developmental Biology	20129
R-MMU-1266738	Mus musculus: Developmental Biology	20130
R-MMU-1266738	Mus musculus: Developmental Biology	20181
R-MMU-1266738	Mus musculus: Developmental Biology	20315
