dataset_id	short	tissue	pair	jaccard	n_intersection	n_union	n_method_a_only	n_method_b_only	more_permissive
a37f857c-779f-464e-9310-3db43a1811e7	small_intestine	small intestine	C2_vs_MAD5	0.774	38700	50000	0	11300	MAD5
a37f857c-779f-464e-9310-3db43a1811e7	small_intestine	small intestine	C1_vs_C2	0.8639	38700	44799	6099	0	C1
a37f857c-779f-464e-9310-3db43a1811e7	small_intestine	small intestine	MAD3_vs_MAD5	0.9847	49234	50000	0	766	MAD5
e51bae9a-c747-4b64-904a-4da7cda218ab	pancreas	pancreas	C1_vs_MAD3	0.9174	44190	48169	0	3979	MAD3
e51bae9a-c747-4b64-904a-4da7cda218ab	pancreas	pancreas	C1_vs_MAD5	0.8838	44190	49998	0	5808	MAD5
e51bae9a-c747-4b64-904a-4da7cda218ab	pancreas	pancreas	C2_vs_MAD3	0.9857	47491	48178	9	678	MAD3
e51bae9a-c747-4b64-904a-4da7cda218ab	pancreas	pancreas	C2_vs_MAD5	0.95	47500	49998	0	2498	MAD5
e51bae9a-c747-4b64-904a-4da7cda218ab	pancreas	pancreas	C1_vs_C2	0.9303	44190	47500	0	3310	C2
e51bae9a-c747-4b64-904a-4da7cda218ab	pancreas	pancreas	MAD3_vs_MAD5	0.9634	48169	49998	0	1829	MAD5
16023185-de21-4c0d-a9c8-73abdd52d142	large_intestine	large intestine	C1_vs_MAD3	0.9295	44316	47676	0	3360	MAD3
16023185-de21-4c0d-a9c8-73abdd52d142	large_intestine	large intestine	C1_vs_MAD5	0.8863	44316	50000	0	5684	MAD5
16023185-de21-4c0d-a9c8-73abdd52d142	large_intestine	large intestine	C2_vs_MAD3	0.9963	47499	47676	0	177	MAD3
16023185-de21-4c0d-a9c8-73abdd52d142	large_intestine	large intestine	C2_vs_MAD5	0.95	47499	50000	0	2501	MAD5
16023185-de21-4c0d-a9c8-73abdd52d142	large_intestine	large intestine	C1_vs_C2	0.933	44316	47499	0	3183	C2
16023185-de21-4c0d-a9c8-73abdd52d142	large_intestine	large intestine	MAD3_vs_MAD5	0.9535	47676	50000	0	2324	MAD5
