short	tissue	pair	concentration_category	n_cells
small_intestine	small intestine	C2_vs_MAD3	low_counts	2414
small_intestine	small intestine	C2_vs_MAD3	high_mito	1734
small_intestine	small intestine	C2_vs_MAD3	multiple	1931
small_intestine	small intestine	C2_vs_MAD3	none_of_3	6099
small_intestine	small intestine	C2_vs_MAD5	low_genes	2454
small_intestine	small intestine	C2_vs_MAD5	low_counts	2493
small_intestine	small intestine	C2_vs_MAD5	high_mito	2500
small_intestine	small intestine	C2_vs_MAD5	multiple	2032
small_intestine	small intestine	C2_vs_MAD5	none_of_3	6099
small_intestine	small intestine	C1_vs_C2	low_genes	0
small_intestine	small intestine	C1_vs_C2	low_counts	0
small_intestine	small intestine	C1_vs_C2	high_mito	0
small_intestine	small intestine	C1_vs_C2	multiple	0
small_intestine	small intestine	C1_vs_C2	none_of_3	6099
small_intestine	small intestine	MAD3_vs_MAD5	low_genes	95
small_intestine	small intestine	MAD3_vs_MAD5	low_counts	79
small_intestine	small intestine	MAD3_vs_MAD5	high_mito	766
small_intestine	small intestine	MAD3_vs_MAD5	multiple	101
small_intestine	small intestine	MAD3_vs_MAD5	none_of_3	0
pancreas	pancreas	C1_vs_MAD3	low_genes	2089
pancreas	pancreas	C1_vs_MAD3	low_counts	2358
pancreas	pancreas	C1_vs_MAD3	high_mito	678
pancreas	pancreas	C1_vs_MAD3	multiple	1120
pancreas	pancreas	C1_vs_MAD3	none_of_3	0
pancreas	pancreas	C1_vs_MAD5	low_genes	2498
pancreas	pancreas	C1_vs_MAD5	low_counts	2499
pancreas	pancreas	C1_vs_MAD5	high_mito	2498
pancreas	pancreas	C1_vs_MAD5	multiple	1564
pancreas	pancreas	C1_vs_MAD5	none_of_3	0
pancreas	pancreas	C2_vs_MAD3	low_genes	99
pancreas	pancreas	C2_vs_MAD3	low_counts	48
pancreas	pancreas	C2_vs_MAD3	high_mito	678
pancreas	pancreas	C2_vs_MAD3	multiple	112
pancreas	pancreas	C2_vs_MAD3	none_of_3	0
pancreas	pancreas	C2_vs_MAD5	low_genes	490
pancreas	pancreas	C2_vs_MAD5	low_counts	175
pancreas	pancreas	C2_vs_MAD5	high_mito	2498
pancreas	pancreas	C2_vs_MAD5	multiple	542
pancreas	pancreas	C2_vs_MAD5	none_of_3	0
pancreas	pancreas	C1_vs_C2	low_genes	2008
pancreas	pancreas	C1_vs_C2	low_counts	2324
pancreas	pancreas	C1_vs_C2	high_mito	0
pancreas	pancreas	C1_vs_C2	multiple	1022
pancreas	pancreas	C1_vs_C2	none_of_3	0
pancreas	pancreas	MAD3_vs_MAD5	low_genes	409
pancreas	pancreas	MAD3_vs_MAD5	low_counts	141
pancreas	pancreas	MAD3_vs_MAD5	high_mito	1820
pancreas	pancreas	MAD3_vs_MAD5	multiple	444
pancreas	pancreas	MAD3_vs_MAD5	none_of_3	0
large_intestine	large intestine	C1_vs_MAD3	low_genes	2369
large_intestine	large intestine	C1_vs_MAD3	low_counts	2496
large_intestine	large intestine	C1_vs_MAD3	high_mito	176
large_intestine	large intestine	C1_vs_MAD3	multiple	1681
large_intestine	large intestine	C1_vs_MAD3	none_of_3	0
large_intestine	large intestine	C1_vs_MAD5	low_genes	2492
large_intestine	large intestine	C1_vs_MAD5	low_counts	2496
large_intestine	large intestine	C1_vs_MAD5	high_mito	2500
large_intestine	large intestine	C1_vs_MAD5	multiple	1804
large_intestine	large intestine	C1_vs_MAD5	none_of_3	0
large_intestine	large intestine	C2_vs_MAD3	low_genes	1
large_intestine	large intestine	C2_vs_MAD3	low_counts	2
large_intestine	large intestine	C2_vs_MAD3	high_mito	176
large_intestine	large intestine	C2_vs_MAD3	multiple	2
large_intestine	large intestine	C2_vs_MAD3	none_of_3	0
large_intestine	large intestine	C2_vs_MAD5	low_genes	124
large_intestine	large intestine	C2_vs_MAD5	low_counts	2
large_intestine	large intestine	C2_vs_MAD5	high_mito	2500
large_intestine	large intestine	C2_vs_MAD5	multiple	125
large_intestine	large intestine	C2_vs_MAD5	none_of_3	0
large_intestine	large intestine	C1_vs_C2	low_genes	2368
large_intestine	large intestine	C1_vs_C2	low_counts	2494
large_intestine	large intestine	C1_vs_C2	high_mito	0
large_intestine	large intestine	C1_vs_C2	multiple	1679
large_intestine	large intestine	C1_vs_C2	none_of_3	0
large_intestine	large intestine	MAD3_vs_MAD5	low_genes	123
large_intestine	large intestine	MAD3_vs_MAD5	low_counts	0
large_intestine	large intestine	MAD3_vs_MAD5	high_mito	2324
large_intestine	large intestine	MAD3_vs_MAD5	multiple	123
large_intestine	large intestine	MAD3_vs_MAD5	none_of_3	0
