cluster	rank	gene	score
10	47	PDLIM1	36.8674430847168
10	48	IRF8	36.810035705566406
10	49	GAPT	36.53923034667969
11	0	CD8B	92.56478118896484
11	1	CD8A	67.6347427368164
11	2	LINC02446	66.95928955078125
11	3	RPS12	66.14627075195312
11	4	RPL32	61.791595458984375
11	5	RPS6	61.024925231933594
11	6	RPS13	60.36739730834961
11	7	RPS14	60.132591247558594
11	8	RPS3A	58.39687728881836
11	9	RPL21	57.7159309387207
11	10	RPS8	56.67734909057617
11	11	RPL13	56.40479278564453
11	12	CCR7	55.945159912109375
11	13	RPS23	55.68186569213867
11	14	RPS5	55.545692443847656
11	15	RPS28	55.27140426635742
11	16	EEF1B2	54.95488739013672
11	17	RPL34	53.9770622253418
11	18	RPLP2	52.99298858642578
11	19	RPL19	52.881385803222656
11	20	RPL9	52.41168975830078
11	21	RPL14	52.220672607421875
11	22	RPL10A	52.064552307128906
11	23	RPS25	51.97935104370117
11	24	RPL28	51.87620544433594
11	25	RPL12	51.08103942871094
11	26	RPS18	50.99736022949219
11	27	RGS10	50.90557861328125
11	28	RPL35A	50.68274688720703
11	29	RPL5	50.60771942138672
11	30	RPS16	50.54762649536133
11	31	RPL22	50.24391555786133
11	32	RPL18	49.592838287353516
11	33	LEF1	49.47315216064453
11	34	RPS15A	48.53007125854492
11	35	RPL30	48.434776306152344
11	36	RPS15	47.828216552734375
11	37	RPS27A	47.80088806152344
11	38	NPM1	47.49345779418945
11	39	RPS4X	47.34033966064453
11	40	RPS3	46.88277053833008
11	41	RPS21	46.43745803833008
11	42	NUCB2	46.427433013916016
11	43	RPL10	45.314857482910156
11	44	RPL37	45.10734558105469
11	45	RPS2	44.51789855957031
11	46	RPL11	44.24340057373047
11	47	SARAF	43.33444595336914
11	48	OXNAD1	43.312339782714844
11	49	PIK3IP1	42.45075607299805
12	0	CD79A	59.690181732177734
12	1	MS4A1	59.01780700683594
12	2	CD37	57.95223617553711
12	3	CD74	57.85268783569336
12	4	HLA-DRA	56.96144104003906
12	5	CD79B	56.432735443115234
12	6	HLA-DPB1	55.562278747558594
12	7	HLA-DQA1	54.803504943847656
12	8	HLA-DPA1	54.492733001708984
12	9	BANK1	54.29499816894531
12	10	RALGPS2	52.670654296875
12	11	IGHM	51.573341369628906
12	12	HLA-DRB1	51.4984130859375
12	13	HLA-DQB1	50.33023452758789
12	14	IGLC2	49.3960075378418
12	15	IGLC3	48.910640716552734
12	16	LINC00926	45.621639251708984
12	17	IGHD	43.42033767700195
12	18	MEF2C	42.64878845214844
12	19	HLA-DRB5	42.328453063964844
12	20	TNFRSF13C	41.182518005371094
12	21	HLA-DMA	41.1541748046875
12	22	SWAP70	40.34614562988281
12	23	VPREB3	39.62901306152344
12	24	HVCN1	39.145973205566406
12	25	SNX2	38.7828483581543
12	26	RPL18A	38.34547805786133
12	27	CD52	37.31486511230469
12	28	RPS11	36.3238525390625
12	29	BCL11A	36.2584228515625
12	30	STX7	36.1822509765625
12	31	HLA-DMB	35.33742904663086
12	32	TCL1A	34.19786071777344
12	33	NCF1	34.049835205078125
12	34	AFF3	31.68119239807129
12	35	SPIB	31.452808380126953
12	36	CD40	31.320322036743164
12	37	BIRC3	31.26338005065918
12	38	RPL8	31.20639419555664
12	39	FCRL1	31.053131103515625
12	40	PLPP5	30.676525115966797
12	41	PDLIM1	30.26128578186035
12	42	FCER2	30.107646942138672
12	43	BLK	29.395675659179688
12	44	MARCHF1	29.3154239654541
12	45	CXXC5	29.017608642578125
12	46	CD22	28.9207706451416
12	47	RPS5	28.365262985229492
12	48	EAF2	28.286272048950195
12	49	RPS23	28.199615478515625
13	0	IRF8	25.42275047302246
13	1	ITM2C	25.403982162475586
13	2	PLD4	25.39096450805664
13	3	PPP1R14B	25.382383346557617
