cluster	rank	gene	score
6	39	HBA1	4.138088703155518
6	40	LMAN1	4.092381000518799
6	41	RNF10	4.069245338439941
6	42	CRELD2	4.0588884353637695
6	43	ALAS2	4.0556817054748535
6	44	DNAJB11	4.044154644012451
6	45	STT3A	4.038018226623535
6	46	XIST	4.031789779663086
6	47	HBA2	4.0157246589660645
6	48	SEMA4A	3.998093605041504
6	49	B4GALT3	3.9944143295288086
7	0	S100A9	132.98171997070312
7	1	S100A8	132.74691772460938
7	2	LYZ	132.25022888183594
7	3	MNDA	131.98910522460938
7	4	FCN1	130.8033447265625
7	5	VCAN	130.25970458984375
7	6	CTSS	129.48681640625
7	7	S100A6	129.2959747314453
7	8	TYROBP	127.86109924316406
7	9	FTL	127.01031494140625
7	10	CST3	126.54409790039062
7	11	TSPO	126.36628723144531
7	12	CD14	126.13382720947266
7	13	AIF1	125.92373657226562
7	14	PSAP	125.80514526367188
7	15	CSTA	125.3466567993164
7	16	MS4A6A	124.73341369628906
7	17	FGL2	124.67205810546875
7	18	S100A11	124.63945007324219
7	19	LST1	124.62342071533203
7	20	FTH1	123.76741790771484
7	21	CYBB	123.69570922851562
7	22	S100A12	122.35523986816406
7	23	TYMP	121.89315795898438
7	24	BRI3	121.55901336669922
7	25	TKT	120.8112564086914
7	26	AP1S2	119.66387176513672
7	27	GRN	119.64541625976562
7	28	LGALS1	119.21019744873047
7	29	S100A4	119.06725311279297
7	30	CEBPD	118.91417694091797
7	31	ENSG00000257764	117.98384857177734
7	32	NCF2	117.81785583496094
7	33	SERPINA1	117.78626251220703
7	34	APLP2	117.0261459350586
7	35	COTL1	116.70732116699219
7	36	OAZ1	116.66536712646484
7	37	CFD	116.03148651123047
7	38	MPEG1	115.50647735595703
7	39	FCER1G	113.69499206542969
7	40	GSTP1	113.3857192993164
7	41	CD36	113.19955444335938
7	42	SAT1	113.07616424560547
7	43	SPI1	112.87332153320312
7	44	CSF3R	112.57247161865234
7	45	CD68	112.44416809082031
7	46	LGALS3	112.42156219482422
7	47	IGSF6	112.4013671875
7	48	NEAT1	110.91275787353516
7	49	RGS2	110.86332702636719
8	0	HLA-DPB1	28.08380889892578
8	1	HLA-DRA	28.075475692749023
8	2	HLA-DPA1	28.008914947509766
8	3	CST3	27.947078704833984
8	4	HLA-DQA1	27.58470344543457
8	5	HLA-DQB1	27.473966598510742
8	6	HLA-DRB1	27.354393005371094
8	7	CD74	27.28618621826172
8	8	HLA-DMA	26.29628562927246
8	9	CPVL	25.936250686645508
8	10	CTSZ	24.77573013305664
8	11	FCER1A	24.69880485534668
8	12	HLA-DRB5	24.54176902770996
8	13	SAMHD1	24.53055763244629
8	14	VIM	24.187307357788086
8	15	PAK1	24.159168243408203
8	16	ALDH2	24.081615447998047
8	17	GSTP1	23.98069953918457
8	18	LGALS1	23.802705764770508
8	19	ACTB	23.776424407958984
8	20	HLA-DMB	23.651641845703125
8	21	CCDC88A	23.098283767700195
8	22	COTL1	22.994699478149414
8	23	BASP1	22.96319007873535
8	24	ANXA2	22.95937156677246
8	25	GSN	22.863998413085938
8	26	CD1C	22.863170623779297
8	27	LGALS2	22.858598709106445
8	28	CLEC10A	22.738527297973633
8	29	CTSH	22.66599464416504
8	30	ENHO	22.642778396606445
8	31	MACROH2A1	22.483247756958008
8	32	CIITA	22.3068790435791
8	33	FGL2	22.24982261657715
8	34	S100A10	22.114038467407227
8	35	FCGRT	21.950347900390625
8	36	SPI1	21.908525466918945
8	37	C1orf162	21.842533111572266
8	38	ANXA5	21.797521591186523
8	39	TMSB10	21.794452667236328
8	40	GAPDH	21.750207901000977
8	41	LY86	21.685420989990234
8	42	RAB32	21.661663055419922
