cluster	rank	gene	score
10	26	RPS20	12.939943313598633
10	27	RPL11	12.77333927154541
10	28	RPLP1	12.502703666687012
10	29	RPL35A	12.009269714355469
10	30	ACTB	11.785265922546387
10	31	RPS27A	11.771089553833008
10	32	KLRB1	11.226874351501465
10	33	RPL15	10.82773208618164
10	34	RPL36	10.643417358398438
10	35	RPS16	10.46405029296875
10	36	RPL7	10.067561149597168
10	37	RPS12	9.818594932556152
10	38	RPS2	9.799302101135254
10	39	RPL27	9.775781631469727
10	40	RPL12	9.56099796295166
10	41	EEF1D	9.405047416687012
10	42	RPL28	9.259149551391602
10	43	UBA52	9.255922317504883
10	44	PFN1	9.171079635620117
10	45	B2M	8.931358337402344
10	46	RPL3	8.845881462097168
10	47	RPL39	8.713361740112305
10	48	RPL26	8.317033767700195
10	49	RPS14	8.293379783630371
11	0	RPS27A	73.57475280761719
11	1	RPL34	71.81419372558594
11	2	RPS15A	71.17430877685547
11	3	RPL21	65.18769836425781
11	4	RPLP2	58.43584442138672
11	5	RPL39	57.32365798950195
11	6	RPS12	53.125152587890625
11	7	RPL32	50.45840072631836
11	8	RPL9	49.4808464050293
11	9	RPL7	49.05961608886719
11	10	RPS13	47.9818115234375
11	11	RPL12	47.41056823730469
11	12	RPS23	45.9205322265625
11	13	RPL41	43.72170639038086
11	14	RPS6	42.705265045166016
11	15	RPS27	41.858238220214844
11	16	TMSB4X	41.718666076660156
11	17	RPL26	40.95565414428711
11	18	MT-ND2	39.395118713378906
11	19	RPS3A	37.70344543457031
11	20	RPS20	35.490318298339844
11	21	KLRB1	35.096923828125
11	22	MT-CO1	34.291324615478516
11	23	RPL13A	33.872215270996094
11	24	MT-CO2	33.24460220336914
11	25	CXCR4	32.77729034423828
11	26	RPS25	32.69668197631836
11	27	B2M	32.05293273925781
11	28	TOMM7	31.33233642578125
11	29	RPL23A	28.980243682861328
11	30	RPS4X	28.81896209716797
11	31	RPLP1	26.832721710205078
11	32	RPL31	26.1889591217041
11	33	RPL10	25.38807487487793
11	34	RPL35A	22.879091262817383
11	35	MT-ND4	21.751415252685547
11	36	RPS19	21.704378128051758
11	37	MT-CO3	21.538545608520508
11	38	IL7R	21.52215003967285
11	39	PTMA	20.595619201660156
11	40	RPS18	20.578022003173828
11	41	RPL35	19.866397857666016
11	42	RPL10A	17.088394165039062
11	43	RPL27	16.878536224365234
11	44	TNFAIP3	16.324556350708008
11	45	RPL30	14.839094161987305
11	46	RPL36A	14.79372787475586
11	47	RPS8	14.701583862304688
11	48	BTG1	13.853032112121582
11	49	EEF1D	13.796823501586914
12	0	JCHAIN	90.30367279052734
12	1	RPL34	68.4285888671875
12	2	SSR4	66.72171020507812
12	3	RPS15A	59.908382415771484
12	4	IGLL5	58.795806884765625
12	5	TSC22D3	54.597023010253906
12	6	ANKRD28	51.89775466918945
12	7	RPL21	51.69927978515625
12	8	LGALS1	50.865623474121094
12	9	EEF1D	48.454185485839844
12	10	HERPUD1	48.1253547668457
12	11	RPL41	46.46961975097656
12	12	RPL7	45.487483978271484
12	13	RPS27A	45.394615173339844
12	14	RPL10	45.15904235839844
12	15	NEAT1	42.3259162902832
12	16	MZB1	39.414649963378906
12	17	CYBA	38.70149230957031
12	18	MT-ND4	37.90858840942383
12	19	HSP90B1	36.395992279052734
12	20	RPLP2	33.96750259399414
12	21	SEC61G	33.44716262817383
12	22	RPL39	32.6053581237793
12	23	SEC61B	30.937538146972656
12	24	RPLP1	29.914915084838867
12	25	MT-ND2	29.622575759887695
12	26	SPCS1	28.46543312072754
12	27	COX7A2	28.076261520385742
12	28	SSR3	28.005313873291016
12	29	RPL12	27.7576847076416
12	30	RPL13A	27.231966018676758
12	31	MT-CO2	27.203859329223633
12	32	RPS4X	27.080524444580078
12	33	PRDX4	26.922077178955078
12	34	EIF1	26.659120559692383
12	35	XBP1	25.76668930053711
12	36	FKBP11	25.524648666381836
12	37	RPS13	24.82612419128418
12	38	SEC11C	24.245895385742188
12	39	ATP5MG	23.89086151123047
12	40	CIRBP	23.762205123901367
12	41	SPCS2	22.4821834564209
12	42	DERL3	21.872419357299805
12	43	HSPA5	21.226388931274414
12	44	TNFRSF17	21.051166534423828
12	45	SUB1	20.979339599609375
12	46	TMEM258	20.750717163085938
12	47	RPS6	20.286773681640625
12	48	RPL26	20.27054786682129
12	49	RPL9	19.004331588745117
13	0	FTH1	37.61330795288086
13	1	LYZ	35.325294494628906
13	2	ENSG00000257764	32.824554443359375
