	n_genes_by_counts	total_counts	pct_counts_mt	doublet_class	doublet_score	celltypist_label	leiden_r1.0	leiden_r0.5	leiden_r1.5
17246177	1220	3477.0	7.2476277	singlet	0.00239275069907308	Activated CD8 T	6	1	7
17246183	1275	3405.0	4.5521293	singlet	0.086341567337513	Activated CD8 T	6	1	7
17246186	1350	3430.0	4.9562683	singlet	0.0201813858002424	Th17	6	1	10
17246191	1053	3419.0	9.827435	singlet	0.0288343708962202	NK T cell	3	3	5
17246193	1461	3415.0	4.8023424	singlet	0.000172046289662831	Th17	6	1	10
17246198	1369	3382.0	7.776464	singlet	0.20646733045578	Activated CD8 T	6	1	7
17246204	1021	3356.0	6.8533974	doublet	0.682168424129486	Th17	6	1	7
17246205	1196	3356.0	6.436234	singlet	0.00249495427124202	Th17	6	1	7
17246206	1148	3322.0	5.538832	singlet	0.0226999614387751	Th17	6	1	7
17246212	1102	3338.0	5.002996	singlet	0.00699265766888857	Activated CD8 T	6	1	7
17246220	1129	3291.0	5.165603	singlet	0.0895962342619896	Activated CD8 T	6	1	7
17246228	1047	3275.0	14.167939	singlet	0.000360513891791925	Th17	6	1	7
17246230	1144	3260.0	4.969325	doublet	0.998004496097565	Th17	6	1	7
17246246	1022	3178.0	5.789805	singlet	0.0130082638934255	Activated CD8 T	6	1	7
17246249	1256	3165.0	9.352291	singlet	0.0186564363539219	Th17	6	1	7
17246250	1174	3151.0	6.3471913	singlet	0.0641686543822289	Th17	6	1	7
17246253	1211	3125.0	6.112	singlet	0.0353696197271347	Activated CD8 T	6	1	7
17246254	1113	3145.0	6.8362484	singlet	3.71508554053435e-06	Th17	6	1	7
17246255	1166	3125.0	9.024	singlet	0.0161412674933672	Th17	6	1	7
17246259	1164	3150.0	10.539682	singlet	0.0584247186779976	Activated CD8 T	6	1	7
17246261	1148	3082.0	6.4892926	singlet	0.0840992480516434	Activated CD8 T	6	1	7
17246267	1239	3080.0	6.233766	singlet	0.28042659163475	Activated CD8 T	6	1	7
17246269	1119	3100.0	8.387097	doublet	0.514565587043762	Activated CD8 T	6	1	7
17246274	968	3081.0	4.901006	singlet	0.000437167473137379	Activated CD8 T	6	1	7
17246284	1075	3002.0	4.1972017	singlet	3.61598472409241e-06	Th17	6	1	7
17246286	1152	2990.0	2.909699	singlet	1.03950578704826e-05	Th17	6	1	7
17246287	1178	2987.0	8.068296	singlet	0.014767449349165	Th17	6	1	7
17246288	1095	2995.0	3.739566	singlet	7.07565777702257e-05	Th17	6	1	7
17246292	1144	2891.0	6.2608094	singlet	0.0391126573085785	Activated CD8 T	6	1	7
17246294	1178	2919.0	10.243234	singlet	0.0809432715177536	NK T cell	3	3	5
17246302	1159	2863.0	6.077541	doublet	0.999170422554016	Th17	6	1	7
17246303	1101	2837.0	7.4021854	singlet	0.000145191646879539	Th17	6	1	7
17246305	1094	2807.0	7.481297	doublet	0.69210821390152	Activated CD8 T	6	1	7
17246308	1094	2853.0	6.2039957	singlet	0.0824085548520088	Activated CD8 T	6	1	7
17246310	1028	2823.0	8.395324	doublet	0.939884066581726	Activated CD8 T	6	1	7
17246312	1052	2831.0	3.779583	singlet	0.154404893517494	Activated CD8 T	6	1	7
17246313	1128	2862.0	7.6869326	singlet	0.0790096595883369	Th17	6	1	7
17246314	1041	2858.0	6.6480055	singlet	0.0740032941102982	Activated CD8 T	6	1	7
17246315	1004	2794.0	8.303508	singlet	0.188185825943947	Activated CD8 T	6	1	7
17246317	1112	2792.0	7.4856734	doublet	0.944721877574921	Activated CD8 T	6	1	7
17246322	909	2689.0	8.144292	doublet	0.675082445144653	Activated CD8 T	6	1	7
17246324	949	2690.0	6.6171007	doublet	0.995196640491486	Activated CD8 T	6	1	7
17246327	1089	2704.0	10.983727	doublet	0.927946329116821	Th17	6	1	7
17246329	1064	2688.0	6.5848217	singlet	2.52595073106932e-05	Th17	6	1	7
17246334	925	2653.0	4.86242	singlet	6.04557953920448e-06	Th17	6	1	7
17246336	1011	2665.0	6.341463	singlet	9.53389587721176e-07	Th17	6	1	7
17246340	955	2545.0	5.6188607	singlet	0.000214766478165984	Th17	6	1	7
17246343	1070	2566.0	5.02728	singlet	3.73373268303112e-06	Th17	6	1	7
17246349	1084	2465.0	6.612576	singlet	0.00099773972760886	Activated CD8 T	6	1	7
17246356	1025	2312.0	11.418685	singlet	0.0342680662870407	Activated CD8 T	6	1	7
17246360	981	2313.0	12.32166	doublet	0.29374885559082	Activated CD8 T	6	1	7
17246369	803	2248.0	4.6263347	singlet	8.61250664456747e-05	Activated CD8 T	6	1	7
17246373	1068	2218.0	7.754734	singlet	0.000575988029595464	Activated CD8 T	6	1	7
17246377	1038	2182.0	4.766269	singlet	2.37833137362031e-05	Th17	6	1	7
17246379	891	2188.0	2.4223034	singlet	0.00341744464822114	Activated CD8 T	6	1	7
17246385	922	2097.0	5.3886504	singlet	1.15732029826177e-06	Th17	6	1	7
17246387	930	2083.0	11.713875	singlet	2.69833471975289e-05	Activated CD8 T	6	1	7
17246392	924	1997.0	11.16675	singlet	0.122731447219849	Activated CD8 T	6	1	7
17246396	841	1963.0	8.405502	singlet	0.0162154715508223	Activated CD8 T	6	1	7
17246398	1057	1937.0	7.898813	singlet	6.88342479406856e-05	NK T cell	3	3	5
17246402	921	1886.0	12.884411	singlet	0.000460671115433797	Th17	6	1	7
17246405	952	1825.0	10.90411	singlet	0.0449392348527908	Activated CD8 T	6	1	7
17246407	715	1791.0	10.776102	singlet	0.000346449232893065	Activated CD8 T	6	1	10
17246413	754	1664.0	7.151442	doublet	0.522160887718201	Activated CD8 T	6	1	7
17246416	729	1642.0	3.1668696	singlet	0.000241764224483632	Activated CD8 T	6	1	7
17246420	657	1285.0	18.832685	singlet	2.9448442546709e-06	SELL+ CD4 T	1	6	11
17246429	333	769.0	17.295189	singlet	5.83121391173336e-07	SELL+ CD4 T	1	6	11
17246447	2348	8552.0	9.506548	doublet	0.991260826587677	NK T cell	3	3	5
17246449	2082	8169.0	8.911739	doublet	0.999999761581421	Activated CD4 T	0	0	0
17246458	1514	7027.0	5.7919455	doublet	0.998928248882294	Activated CD4 T	0	0	0
17246459	1933	6942.0	10.414866	doublet	0.992431640625	Activated CD8 T	0	0	0
17246463	1879	6713.0	4.6030087	doublet	0.998410940170288	Treg	2	0	4
17246464	1718	6642.0	15.161096	doublet	0.999924063682556	Activated CD4 T	0	0	0
17246466	1681	6585.0	6.5451784	doublet	0.995534896850586	Activated CD8 T	0	0	0
17246467	1367	6575.0	8.623574	singlet	0.00639027031138539	Activated CD4 T	0	0	0
17246468	1227	6551.0	5.4342847	doublet	0.92314076423645	SELL+ CD4 T	2	0	4
17246469	1531	6481.0	8.532634	doublet	0.998659014701843	Activated CD4 T	0	0	0
17246470	1601	6423.0	8.391717	doublet	0.999988555908203	Activated CD4 T	0	0	0
17246474	1786	6275.0	6.390438	doublet	0.9974604845047	Activated CD4 T	0	0	0
17246478	1604	6236.0	7.9858885	doublet	0.999897241592407	Activated CD8 T	0	0	0
17246480	1714	6167.0	8.318469	doublet	0.993308305740356	Activated CD8 T	0	0	0
17246481	1291	6205.0	6.204674	doublet	0.816825449466705	Activated CD4 T	0	0	0
17246482	1611	6190.0	9.418417	doublet	0.99999463558197	Activated CD4 T	0	0	0
17246483	1643	6031.0	4.0955067	doublet	0.92663836479187	Activated CD4 T	0	0	0
17246494	1296	5881.0	6.8185678	doublet	0.999451100826263	Activated CD4 T	0	0	0
17246497	1579	5840.0	9.554794	doublet	0.999218463897705	Activated CD4 T	0	0	0
17246504	1678	5746.0	10.40724	doublet	0.99999988079071	Activated CD8 T	6	1	7
17246505	1306	5759.0	6.3205423	singlet	0.000291590142296627	Activated CD4 T	0	0	0
17246509	1733	5683.0	6.545839	doublet	0.999408841133118	Activated CD8 T	0	0	0
17246511	1489	5658.0	8.324496	singlet	0.102674134075642	Activated CD4 T	0	0	0
17246515	1561	5580.0	3.3512545	singlet	0.0193329360336065	Activated CD4 T	0	0	0
17246518	1388	5518.0	11.308445	doublet	0.99999988079071	Activated CD4 T	0	0	0
17246532	1353	5453.0	6.1434073	doublet	0.999998927116394	Activated CD4 T	0	0	0
17246534	1508	5430.0	4.9171267	doublet	0.997069537639618	Activated CD4 T	0	0	0
17246535	1680	5430.0	11.3996315	doublet	0.999970316886902	Activated CD4 T	0	0	0
17246539	1358	5359.0	7.3334575	singlet	8.36282342788763e-05	Activated CD8 T	0	0	0
17246541	1513	5334.0	8.830147	doublet	0.999999761581421	Activated CD8 T	0	0	0
17246550	1505	5233.0	2.7135487	singlet	0.197215721011162	Activated CD4 T	0	0	0
17246553	1627	5165.0	7.6282673	doublet	0.998967409133911	Activated CD8 T	6	1	7
17246558	1508	5086.0	6.9406214	singlet	0.0625079646706581	Activated CD8 T	0	0	0
17246560	1401	5143.0	9.371962	doublet	0.999951004981995	Activated CD4 T	0	0	0
17246582	1302	4927.0	6.8804545	doublet	0.344685614109039	Activated CD4 T	2	0	4
17246590	1333	4869.0	7.9482446	doublet	0.999271094799042	Activated CD8 T	0	0	0
17246595	1707	4832.0	8.360927	singlet	0.15290293097496	Treg	2	0	4
17246599	1257	4821.0	7.6747565	singlet	0.000230683057452552	Activated CD4 T	0	0	0
17246600	1496	4812.0	7.0864506	doublet	0.999989032745361	Activated CD4 T	0	0	0
17246602	1479	4806.0	6.346234	doublet	0.989799857139587	Activated CD4 T	0	0	0
17246607	1553	4767.0	8.328089	doublet	0.808304250240326	Activated CD4 T	0	0	0
17246610	1343	4746.0	8.238517	doublet	0.997953534126282	Activated CD8 T	0	0	0
17246620	1269	4538.0	10.202733	doublet	0.99714857339859	Activated CD8 T	0	0	0
17246626	1572	4597.0	5.6341095	doublet	0.9762202501297	Treg	2	0	4
17246629	1303	4604.0	3.7793224	singlet	0.00478449324145913	Treg	2	0	4
17246630	1146	4602.0	9.191656	doublet	0.956626296043396	Activated CD4 T	0	0	0
17246643	1269	4528.0	6.581272	singlet	0.0130834989249706	Activated CD4 T	0	0	0
17246647	1336	4501.0	9.131304	singlet	0.103054396808147	Activated CD4 T	0	0	0
17246650	1402	4492.0	7.8806767	singlet	0.00346094067208469	Activated CD4 T	0	0	0
17246658	1394	4305.0	7.804878	doublet	0.999979853630066	Activated CD8 T	7	0	2
17246660	1130	4413.0	9.313392	singlet	0.0670702084898949	Activated CD4 T	0	0	0
17246666	1198	4369.0	10.276951	singlet	0.0454352833330631	Activated CD4 T	0	0	0
17246675	1424	4305.0	5.551684	singlet	0.095975361764431	Activated CD4 T	0	0	0
17246688	958	4204.0	5.280685	singlet	1.24633997984347e-05	SELL+ CD4 T	2	0	4
17246691	1158	4176.0	7.926245	doublet	0.387237519025803	Activated CD4 T	0	0	0
17246693	1239	4164.0	8.117195	doublet	0.997633695602417	Activated CD4 T	0	0	0
17246697	1424	4140.0	5.9661837	doublet	0.999050199985504	Activated CD4 T	0	0	0
17246703	1331	4122.0	6.671519	singlet	0.1644476801157	Activated CD4 T	0	0	0
17246705	1276	4099.0	8.099537	doublet	0.999884843826294	Activated CD4 T	0	0	0
17246706	1417	4089.0	10.858401	doublet	0.999994039535522	NK cell	3	3	8
17246708	1029	4113.0	6.3214197	singlet	1.85497665370349e-05	SELL+ CD4 T	2	0	4
17246709	1060	4075.0	11.90184	doublet	0.999372541904449	Activated CD4 T	0	0	0
17246713	1030	4041.0	8.463251	singlet	0.00151063222438097	SELL+ CD4 T	2	0	4
17246715	1391	4031.0	4.0436616	singlet	0.00698602898046374	Treg	2	0	4
17246717	1357	4000.0	2.025	doublet	0.855888903141022	Activated CD8 T	0	0	0
17246721	1287	3990.0	11.829574	singlet	0.00785077642649412	Activated CD4 T	0	0	0
17246723	1008	3949.0	9.293492	doublet	0.825925648212433	Activated CD4 T	0	0	0
