file_path	file_size_gb	mtime	parent_dir	likely_dataset_id	chemistry_hint	species_hint	appears_complete	md5_available	category	disposition	reason
/mnt/nvme1/EGSEA_01122026Jiuen/RNAseq_EGSEA_mm10/raw_fastq/Sham0718_1_R2.fastqsanger.fastq	8.049	2026-01-10	/mnt/nvme1/EGSEA_01122026Jiuen/RNAseq_EGSEA_mm10/raw_fastq				yes	no	user_excluded	skip	Folder on user's 2026-05-17 exclude list — do not use.
/mnt/nvme1/EGSEA_01122026Jiuen/RNAseq_EGSEA_mm10/raw_fastq/Sham0718_2_R1.fastqsanger.fastq	8.3335	2026-01-12	/mnt/nvme1/EGSEA_01122026Jiuen/RNAseq_EGSEA_mm10/raw_fastq				yes	no	user_excluded	skip	Folder on user's 2026-05-17 exclude list — do not use.
/mnt/nvme1/EGSEA_01122026Jiuen/RNAseq_EGSEA_mm10/raw_fastq/Sham0718_2_R2.fastqsanger.fastq	8.3335	2026-01-10	/mnt/nvme1/EGSEA_01122026Jiuen/RNAseq_EGSEA_mm10/raw_fastq				yes	no	user_excluded	skip	Folder on user's 2026-05-17 exclude list — do not use.
/mnt/nvme1/EGSEA_01122026Jiuen/RNAseq_EGSEA_mm10/raw_fastq/Sham0726_2_R1.fastqsanger.fastq	9.9529	2026-01-10	/mnt/nvme1/EGSEA_01122026Jiuen/RNAseq_EGSEA_mm10/raw_fastq				yes	no	user_excluded	skip	Folder on user's 2026-05-17 exclude list — do not use.
/mnt/nvme1/EGSEA_01122026Jiuen/RNAseq_EGSEA_mm10/raw_fastq/Sham0726_2_R2.fastqsanger.fastq	9.9529	2026-01-10	/mnt/nvme1/EGSEA_01122026Jiuen/RNAseq_EGSEA_mm10/raw_fastq				yes	no	user_excluded	skip	Folder on user's 2026-05-17 exclude list — do not use.
/mnt/nvme1/miRNA_01052026Ang/mirna_project/trimmed/naive_43_trimmed.fastq.gz	0.6433	2025-12-26	/mnt/nvme1/miRNA_01052026Ang/mirna_project/trimmed				yes	no	user_excluded	skip	Folder on user's 2026-05-17 exclude list — do not use.
/mnt/nvme1/miRNA_01052026Ang/mirna_project/trimmed/naive_43_trimmed_v2.fastq.gz	0.081	2025-12-26	/mnt/nvme1/miRNA_01052026Ang/mirna_project/trimmed				yes	no	user_excluded	skip	Folder on user's 2026-05-17 exclude list — do not use.
/mnt/nvme1/miRNA_01052026Ang/mirna_project/trimmed/naive_44_trimmed.fastq.gz	0.62	2025-12-26	/mnt/nvme1/miRNA_01052026Ang/mirna_project/trimmed				yes	no	user_excluded	skip	Folder on user's 2026-05-17 exclude list — do not use.
/mnt/nvme1/miRNA_01052026Ang/mirna_project/trimmed/naive_44_trimmed_v2.fastq.gz	0.08	2025-12-26	/mnt/nvme1/miRNA_01052026Ang/mirna_project/trimmed				yes	no	user_excluded	skip	Folder on user's 2026-05-17 exclude list — do not use.
/mnt/nvme1/miRNA_01052026Ang/mirna_project/trimmed/naive_45_trimmed.fastq.gz	0.6378	2025-12-26	/mnt/nvme1/miRNA_01052026Ang/mirna_project/trimmed				yes	no	user_excluded	skip	Folder on user's 2026-05-17 exclude list — do not use.
