cell	mad3_outlier	mad5_outlier
64013481	FALSE	FALSE
64013515	FALSE	FALSE
64013516	FALSE	FALSE
64013524	FALSE	FALSE
64013534	FALSE	FALSE
64013565	FALSE	FALSE
64013574	FALSE	FALSE
64013576	FALSE	FALSE
64013577	FALSE	FALSE
64013581	FALSE	FALSE
64013599	FALSE	FALSE
64013602	FALSE	FALSE
64013613	FALSE	FALSE
64013618	FALSE	FALSE
64013624	FALSE	FALSE
64013625	FALSE	FALSE
64013627	FALSE	FALSE
64013631	FALSE	FALSE
64013635	FALSE	FALSE
64013642	FALSE	FALSE
64013650	FALSE	FALSE
64013654	FALSE	FALSE
64013655	FALSE	FALSE
64013669	FALSE	FALSE
64013670	FALSE	FALSE
64013692	FALSE	FALSE
64013703	FALSE	FALSE
64013704	FALSE	FALSE
64013706	FALSE	FALSE
64013718	FALSE	FALSE
64013729	FALSE	FALSE
64013734	FALSE	FALSE
64013736	FALSE	FALSE
64013740	FALSE	FALSE
64013768	FALSE	FALSE
64013786	FALSE	FALSE
64013788	FALSE	FALSE
64013794	FALSE	FALSE
64013795	FALSE	FALSE
64013808	FALSE	FALSE
64013818	FALSE	FALSE
64013827	FALSE	FALSE
64013829	FALSE	FALSE
64013831	FALSE	FALSE
64013853	FALSE	FALSE
64013856	FALSE	FALSE
64013868	FALSE	FALSE
64013878	FALSE	FALSE
64013895	FALSE	FALSE
64013900	FALSE	FALSE
64013908	FALSE	FALSE
64013913	FALSE	FALSE
64013920	FALSE	FALSE
64013934	FALSE	FALSE
64013962	FALSE	FALSE
64013965	FALSE	FALSE
64013967	FALSE	FALSE
64013976	FALSE	FALSE
64013978	FALSE	FALSE
64013979	FALSE	FALSE
64013987	FALSE	FALSE
64013997	FALSE	FALSE
64014005	FALSE	FALSE
64014025	FALSE	FALSE
64014029	FALSE	FALSE
64014033	FALSE	FALSE
64014039	TRUE	FALSE
64014054	FALSE	FALSE
64014058	FALSE	FALSE
64014065	FALSE	FALSE
64014072	FALSE	FALSE
64014075	FALSE	FALSE
64014082	FALSE	FALSE
64014105	FALSE	FALSE
64014116	FALSE	FALSE
64014119	FALSE	FALSE
64014140	FALSE	FALSE
64014148	FALSE	FALSE
64014161	FALSE	FALSE
64014162	FALSE	FALSE
64014173	TRUE	TRUE
64014175	FALSE	FALSE
64014179	FALSE	FALSE
64014183	FALSE	FALSE
64014196	FALSE	FALSE
64014210	FALSE	FALSE
64014220	TRUE	TRUE
64014242	FALSE	FALSE
64014253	FALSE	FALSE
64014265	FALSE	FALSE
64014270	FALSE	FALSE
64014280	TRUE	TRUE
64014301	TRUE	TRUE
64014303	FALSE	FALSE
64014309	FALSE	FALSE
64014312	FALSE	FALSE
64014318	FALSE	FALSE
64014335	FALSE	FALSE
64014336	FALSE	FALSE
64014343	FALSE	FALSE
64014365	FALSE	FALSE
64014368	FALSE	FALSE
64014374	FALSE	FALSE
64014378	FALSE	FALSE
64014380	FALSE	FALSE
64014381	FALSE	FALSE
64014390	FALSE	FALSE
64014396	FALSE	FALSE
64014400	FALSE	FALSE
64014407	FALSE	FALSE
64014411	FALSE	FALSE
64014416	FALSE	FALSE
64014423	TRUE	TRUE
64014438	FALSE	FALSE
64014456	FALSE	FALSE
64014463	FALSE	FALSE
64014467	TRUE	FALSE
64014468	FALSE	FALSE
64014472	TRUE	FALSE
64014500	TRUE	FALSE
64014501	FALSE	FALSE
64014502	FALSE	FALSE
64014503	FALSE	FALSE
64014504	FALSE	FALSE
64014543	FALSE	FALSE
64014556	TRUE	FALSE
64014564	FALSE	FALSE
64014573	FALSE	FALSE
64014580	FALSE	FALSE
64014581	FALSE	FALSE
64014593	FALSE	FALSE
64014613	FALSE	FALSE
64014615	FALSE	FALSE
64014619	FALSE	FALSE
64014620	FALSE	FALSE
64014632	TRUE	TRUE
64014635	FALSE	FALSE
64014644	FALSE	FALSE
64014646	FALSE	FALSE
64014662	FALSE	FALSE
64014667	FALSE	FALSE
64014668	FALSE	FALSE
64014677	TRUE	TRUE
64014683	TRUE	FALSE
64014689	FALSE	FALSE
64014706	TRUE	TRUE
64014710	FALSE	FALSE
64014712	FALSE	FALSE
64014739	FALSE	FALSE
64014746	FALSE	FALSE
64014755	FALSE	FALSE
64014758	FALSE	FALSE
64014767	FALSE	FALSE
64014769	FALSE	FALSE
64014800	FALSE	FALSE
64014802	TRUE	TRUE
64014822	FALSE	FALSE
64014828	FALSE	FALSE
64014831	FALSE	FALSE
64014832	FALSE	FALSE
64014838	FALSE	FALSE
64014855	FALSE	FALSE
64014862	FALSE	FALSE
64014872	FALSE	FALSE
64014874	FALSE	FALSE
64014877	FALSE	FALSE
64014878	FALSE	FALSE
64014884	FALSE	FALSE
64014894	FALSE	FALSE
64014911	FALSE	FALSE
64014917	FALSE	FALSE
64014935	FALSE	FALSE
64014936	TRUE	TRUE
64014946	TRUE	TRUE
64014949	FALSE	FALSE
64014957	FALSE	FALSE
64014963	FALSE	FALSE
64014988	FALSE	FALSE
64014993	TRUE	TRUE
64014997	TRUE	TRUE
64015000	FALSE	FALSE
64015004	FALSE	FALSE
64015005	FALSE	FALSE
64015006	FALSE	FALSE
64015010	FALSE	FALSE
64015013	FALSE	FALSE
64015026	FALSE	FALSE
64015043	FALSE	FALSE
64015055	FALSE	FALSE
64015056	FALSE	FALSE
64015060	FALSE	FALSE
64015061	FALSE	FALSE
64015062	TRUE	TRUE
64015064	FALSE	FALSE
64015072	TRUE	FALSE
64015073	TRUE	FALSE
64015076	FALSE	FALSE
64015081	FALSE	FALSE
64015085	FALSE	FALSE
64015088	FALSE	FALSE
64015106	FALSE	FALSE
64015107	TRUE	FALSE
64015112	TRUE	TRUE
64015115	FALSE	FALSE
64015117	TRUE	TRUE
64015122	FALSE	FALSE
64015126	TRUE	FALSE
64015137	FALSE	FALSE
64015148	FALSE	FALSE
64015153	FALSE	FALSE
64015154	FALSE	FALSE
64015159	FALSE	FALSE
64015169	FALSE	FALSE
64015171	FALSE	FALSE
64015175	FALSE	FALSE
64015179	FALSE	FALSE
64015185	FALSE	FALSE
64015186	FALSE	FALSE
64015197	TRUE	FALSE
64015222	FALSE	FALSE
64015229	FALSE	FALSE
64015233	FALSE	FALSE
64015243	TRUE	FALSE
64015245	FALSE	FALSE
64015251	TRUE	TRUE
64015254	FALSE	FALSE
64015263	FALSE	FALSE
64015295	FALSE	FALSE
64015299	FALSE	FALSE
64015319	FALSE	FALSE
64015333	FALSE	FALSE
64015337	FALSE	FALSE
64015341	FALSE	FALSE
64015343	FALSE	FALSE
64015354	FALSE	FALSE
64015359	FALSE	FALSE
64015376	FALSE	FALSE
64015399	TRUE	TRUE
64015403	TRUE	FALSE
64015407	FALSE	FALSE
64015411	FALSE	FALSE
64015415	FALSE	FALSE
64015430	FALSE	FALSE
64015445	FALSE	FALSE
64015448	TRUE	FALSE
64015450	FALSE	FALSE
64015468	FALSE	FALSE
64015471	FALSE	FALSE
64015476	FALSE	FALSE
64015481	FALSE	FALSE
64015482	TRUE	FALSE
64015492	FALSE	FALSE
64015500	FALSE	FALSE
64015502	TRUE	TRUE
64015506	FALSE	FALSE
64015507	TRUE	FALSE
64015516	FALSE	FALSE
64015542	FALSE	FALSE
64015544	FALSE	FALSE
64015546	FALSE	FALSE
64015561	FALSE	FALSE
64015564	FALSE	FALSE
64015566	FALSE	FALSE
64015588	FALSE	FALSE
64015592	FALSE	FALSE
64015593	FALSE	FALSE
64015601	FALSE	FALSE
64015602	FALSE	FALSE
64015605	TRUE	FALSE
64015612	FALSE	FALSE
64015619	FALSE	FALSE
64015631	FALSE	FALSE
64015635	FALSE	FALSE
64015664	FALSE	FALSE
64015665	TRUE	TRUE
64015668	FALSE	FALSE
64015670	FALSE	FALSE
64015680	FALSE	FALSE
64015689	FALSE	FALSE
64015709	FALSE	FALSE
64015711	FALSE	FALSE
64015712	FALSE	FALSE
64015715	FALSE	FALSE
64015718	FALSE	FALSE
64015733	TRUE	FALSE
64015734	FALSE	FALSE
64015736	FALSE	FALSE
64015768	FALSE	FALSE
64015770	FALSE	FALSE
64015776	FALSE	FALSE
64015777	FALSE	FALSE
64015778	FALSE	FALSE
64015792	FALSE	FALSE
64015800	TRUE	TRUE
64015802	FALSE	FALSE
64015817	FALSE	FALSE
64015821	FALSE	FALSE
64015822	FALSE	FALSE
64015832	FALSE	FALSE
64015845	FALSE	FALSE
64015850	FALSE	FALSE
64015851	FALSE	FALSE
64015855	FALSE	FALSE
64015878	FALSE	FALSE
64015879	FALSE	FALSE
64015888	FALSE	FALSE
64015897	FALSE	FALSE
64015904	FALSE	FALSE
64015906	FALSE	FALSE
64015915	FALSE	FALSE
64015927	FALSE	FALSE
64015948	FALSE	FALSE
64015958	FALSE	FALSE
64015980	FALSE	FALSE
64015985	TRUE	TRUE
64016009	FALSE	FALSE
64016013	TRUE	FALSE
64016031	FALSE	FALSE
64016034	FALSE	FALSE
64016047	FALSE	FALSE
64016054	FALSE	FALSE
64016055	TRUE	FALSE
64016059	FALSE	FALSE
64016061	FALSE	FALSE
64016062	FALSE	FALSE
64016067	FALSE	FALSE
64016070	FALSE	FALSE
64016076	FALSE	FALSE
64016088	FALSE	FALSE
64016112	FALSE	FALSE
64016130	FALSE	FALSE
64016144	FALSE	FALSE
64016160	FALSE	FALSE
64016162	FALSE	FALSE
64016174	FALSE	FALSE
64016177	FALSE	FALSE
64016196	FALSE	FALSE
64016199	TRUE	TRUE
64016214	FALSE	FALSE
64016235	FALSE	FALSE
64016248	FALSE	FALSE
64016253	FALSE	FALSE
64016268	FALSE	FALSE
64016269	FALSE	FALSE
64016271	FALSE	FALSE
64016275	FALSE	FALSE
64016276	FALSE	FALSE
64016295	FALSE	FALSE
64016332	FALSE	FALSE
64016342	FALSE	FALSE
64016345	TRUE	TRUE
64016354	FALSE	FALSE
64016362	FALSE	FALSE
64016370	FALSE	FALSE
64016375	FALSE	FALSE
64016378	FALSE	FALSE
64016395	FALSE	FALSE
64016398	TRUE	TRUE
64016408	FALSE	FALSE
64016409	FALSE	FALSE
64016410	FALSE	FALSE
64016412	FALSE	FALSE
64016414	FALSE	FALSE
64016424	FALSE	FALSE
64016425	FALSE	FALSE
64016426	TRUE	FALSE
64016429	FALSE	FALSE
64016438	FALSE	FALSE
64016447	FALSE	FALSE
64016456	FALSE	FALSE
64016464	FALSE	FALSE
64016481	FALSE	FALSE
64016498	FALSE	FALSE
64016504	FALSE	FALSE
64016511	FALSE	FALSE
64016542	FALSE	FALSE
64016543	FALSE	FALSE
64016562	FALSE	FALSE
64016563	FALSE	FALSE
64016580	FALSE	FALSE
64016598	FALSE	FALSE
64016612	FALSE	FALSE
64016618	FALSE	FALSE
64016624	FALSE	FALSE
64016637	FALSE	FALSE
64016647	TRUE	TRUE
64016658	FALSE	FALSE
64016659	FALSE	FALSE
64016662	FALSE	FALSE
64016663	FALSE	FALSE
64016664	FALSE	FALSE
64016682	FALSE	FALSE
64016684	FALSE	FALSE
64016690	TRUE	TRUE
64016693	FALSE	FALSE
64016695	FALSE	FALSE
64016703	FALSE	FALSE
64016710	FALSE	FALSE
64016720	FALSE	FALSE
64016724	FALSE	FALSE
64016733	FALSE	FALSE
64016741	FALSE	FALSE
64016742	FALSE	FALSE
64016753	FALSE	FALSE
64016757	FALSE	FALSE
64016761	FALSE	FALSE
64016767	FALSE	FALSE
64016773	FALSE	FALSE
64016775	FALSE	FALSE
64016776	FALSE	FALSE
64016781	FALSE	FALSE
64016784	FALSE	FALSE
64016786	FALSE	FALSE
64016787	FALSE	FALSE
64016792	FALSE	FALSE
64016796	FALSE	FALSE
64016811	TRUE	TRUE
64016813	TRUE	TRUE
64016829	TRUE	TRUE
64016831	FALSE	FALSE
64016839	FALSE	FALSE
64016845	FALSE	FALSE
64016853	TRUE	FALSE
64016856	TRUE	TRUE
64016868	FALSE	FALSE
64016878	FALSE	FALSE
64016883	FALSE	FALSE
64016888	FALSE	FALSE
64016896	FALSE	FALSE
64016900	FALSE	FALSE
64016917	FALSE	FALSE
64016940	FALSE	FALSE
64016941	FALSE	FALSE
64016953	FALSE	FALSE
64016954	FALSE	FALSE
64016960	FALSE	FALSE
64016970	FALSE	FALSE
64016974	FALSE	FALSE
64016975	TRUE	TRUE
64016977	TRUE	FALSE
64016980	FALSE	FALSE
64016988	FALSE	FALSE
64016992	FALSE	FALSE
64017000	FALSE	FALSE
64017013	FALSE	FALSE
64017021	FALSE	FALSE
64017022	TRUE	FALSE
64017024	FALSE	FALSE
64017034	FALSE	FALSE
64017035	FALSE	FALSE
64017044	FALSE	FALSE
