cell	n_genes_by_counts	total_counts	pct_counts_mt
105599647	2581	10651.0	1.9716458
105599731	2290	6731.0	4.4124203
105599735	1116	3275.0	3.389313
105599738	1375	5084.0	1.6129031
105599784	1355	4087.0	3.7435775
105599817	1998	6471.0	2.1325917
105599820	1784	5964.0	1.7773306
105599823	1539	4999.0	1.420284
105599913	1895	6581.0	0.8661298
105599992	1602	5683.0	0.8974133
105600017	1874	6117.0	2.7627923
105600099	1684	4738.0	2.3005488
105600220	1791	6887.0	1.713373
105600411	1689	5894.0	2.3243976
105600675	1651	4804.0	1.2281432
105600702	910	2608.0	5.71319
105600718	1423	4012.0	1.4955134
105600759	1633	6646.0	1.6701775
105600772	1319	3853.0	1.9724891
105600917	1768	6215.0	1.8020917
105600939	1399	5021.0	2.9874527
105601077	1207	3966.0	3.3282905
105601089	1318	4472.0	1.923077
105601178	1793	6640.0	1.4909638
105601194	1355	4348.0	1.3799448
105601205	1303	4047.0	1.5814183
105601246	2063	5964.0	3.3702214
105601247	3042	9938.0	2.0024152
105601362	1406	4543.0	1.364737
105601443	1289	4796.0	3.5029192
105601496	1219	3765.0	3.1341302
105601569	1486	5169.0	2.5149932
105601656	1401	4611.0	3.383214
105601682	1577	5568.0	1.6343391
105601742	1180	3317.0	1.8993067
105601750	1563	5382.0	6.0758085
105601759	1321	4964.0	3.182917
105601839	1403	4849.0	2.268509
105601960	1296	4492.0	2.0703473
105601967	1469	5712.0	2.4509804
105602027	1326	4438.0	3.2221723
105602054	1663	5556.0	2.771778
105602200	1325	3919.0	2.398571
105602237	1258	4451.0	1.9321501
105602245	1620	5646.0	2.3910732
105602269	1599	6173.0	1.8305523
105602282	1341	4517.0	1.5275625
105602316	1792	6400.0	2.421875
105602344	1581	4803.0	3.2479699
105602396	1129	3690.0	1.9783196
105602468	1366	5090.0	1.5127702
105602509	660	1363.0	8.290535
105602546	2092	4900.0	3.3265307
105602549	2039	5638.0	3.3522525
105602558	1576	3397.0	1.0597585
105602590	1939	5028.0	4.276054
105602597	2734	9015.0	2.0299501
105602714	2218	7126.0	3.1574516
105602778	1423	3035.0	1.84514
105602838	2043	4759.0	2.7947047
105602934	1961	5101.0	4.136444
105603016	3154	12639.0	1.5032835
105603031	2088	6601.0	3.1510375
105603048	2034	5492.0	2.5309541
105603081	2029	5535.0	0.7949413
105603151	2204	6062.0	4.7509074
105603154	2592	8552.0	3.5079513
105603159	1298	2857.0	7.59538
105603203	2075	5612.0	2.5481112
105603235	1903	5331.0	2.8700056
105603236	2330	7310.0	3.1600547
105603394	1117	2554.0	4.4244323
105603397	1091	2156.0	3.2931354
105603431	1330	3159.0	3.4821146
105603586	2724	9360.0	2.457265
105603591	908	1860.0	4.0860214
105603649	3154	11581.0	1.8305845
105603767	2542	8336.0	3.0110364
105603810	2674	9698.0	1.9488554
105603880	2506	7954.0	2.941916
105603891	2073	6764.0	4.0952096
105603927	1346	3751.0	6.344975
105604020	1880	5027.0	2.3473244
