input_id	source	comparison_id	tool	file_path	sha256	row_count	gene_id_format	has_padj	has_log2fc	generation_date	phase_lock_status	input_category	n_significant_padj_05
tcga_cancer__PRAD_limma	phase2 regen (tcga_cancer)	PRAD	limma	/mnt/nvme1/omics-audit/phase2/per_gene_degs/b1_tcga/PRAD_limma.tsv	0144965a3b8f9fc1f18b8eed570df5bdbd58764c917b49aea3861eb27b9aa76b	21167	symbol_human	True	True	2026-05-15T20:28:33	verified	tcga_cancer	12001
tcga_cancer__READ_DESeq2	phase2 regen (tcga_cancer)	READ	DESeq2	/mnt/nvme1/omics-audit/phase2/per_gene_degs/b1_tcga/READ_DESeq2.tsv	f2fa2fc21f5f3b886201f10943860926042f431c815c3d835a406f76bf38ede4	20419	symbol_human	True	True	2026-05-15T20:30:57	verified	tcga_cancer	11537
tcga_cancer__READ_edgeR	phase2 regen (tcga_cancer)	READ	edgeR	/mnt/nvme1/omics-audit/phase2/per_gene_degs/b1_tcga/READ_edgeR.tsv	359420248afb845917d279f08f93027bb70fe9e7c2f54c0d94af29da7d2bfc16	20419	mixed_or_unknown	True	True	2026-05-15T20:31:00	verified	tcga_cancer	11614
tcga_cancer__READ_limma	phase2 regen (tcga_cancer)	READ	limma	/mnt/nvme1/omics-audit/phase2/per_gene_degs/b1_tcga/READ_limma.tsv	7e35841502ede204213f3077f55cd12b058f08dadf9e344f292ffd27a8bd99e2	20419	symbol_human	True	True	2026-05-15T20:31:02	verified	tcga_cancer	10774
tcga_cancer__STAD_DESeq2	phase2 regen (tcga_cancer)	STAD	DESeq2	/mnt/nvme1/omics-audit/phase2/per_gene_degs/b1_tcga/STAD_DESeq2.tsv	6c44ba6118e935a40228320730fde818e71bcbcfe6690fd9c6d71af351479160	23271	symbol_human	True	True	2026-05-15T20:29:43	verified	tcga_cancer	13285
tcga_cancer__STAD_edgeR	phase2 regen (tcga_cancer)	STAD	edgeR	/mnt/nvme1/omics-audit/phase2/per_gene_degs/b1_tcga/STAD_edgeR.tsv	c4fed55c86eedfa000bbade1af6e7c1204fbc5ff25d401b66591e5ca3ae676ba	23271	symbol_human	True	True	2026-05-15T20:29:49	verified	tcga_cancer	13530
tcga_cancer__STAD_limma	phase2 regen (tcga_cancer)	STAD	limma	/mnt/nvme1/omics-audit/phase2/per_gene_degs/b1_tcga/STAD_limma.tsv	82eae3668de6ce40e9d5a2516a0586679bfea8613900283a73bb328139bec92d	23271	symbol_human	True	True	2026-05-15T20:29:51	verified	tcga_cancer	11161
tcga_cancer__THCA_DESeq2	phase2 regen (tcga_cancer)	THCA	DESeq2	/mnt/nvme1/omics-audit/phase2/per_gene_degs/b1_tcga/THCA_DESeq2.tsv	fe8e3c24d4cdb11a574f04d9df6e8cfc8af33a2d2881269d3eb58abb5ec2ddd4	20163	symbol_human	True	True	2026-05-15T20:28:10	verified	tcga_cancer	13406
tcga_cancer__THCA_edgeR	phase2 regen (tcga_cancer)	THCA	edgeR	/mnt/nvme1/omics-audit/phase2/per_gene_degs/b1_tcga/THCA_edgeR.tsv	b981bcdcd3452b189ed88f4252b72272683df942fc3c230fa7bb2bed100695e3	20163	mixed_or_unknown	True	True	2026-05-15T20:28:15	verified	tcga_cancer	13495
tcga_cancer__THCA_limma	phase2 regen (tcga_cancer)	THCA	limma	/mnt/nvme1/omics-audit/phase2/per_gene_degs/b1_tcga/THCA_limma.tsv	3b52d908f0a9b1210deb1afb4eeb5c767374bf14fd7f65bdc9454569fc1724f5	20163	symbol_human	True	True	2026-05-15T20:28:18	verified	tcga_cancer	13224
tcga_cancer__UCEC_DESeq2	phase2 regen (tcga_cancer)	UCEC	DESeq2	/mnt/nvme1/omics-audit/phase2/per_gene_degs/b1_tcga/UCEC_DESeq2.tsv	239b692fb0b8e10bb8cdca124676dc15657446ce4160d7aa5b8504ef4a28ed65	23000	symbol_human	True	True	2026-05-15T20:29:59	verified	tcga_cancer	15360
tcga_cancer__UCEC_edgeR	phase2 regen (tcga_cancer)	UCEC	edgeR	/mnt/nvme1/omics-audit/phase2/per_gene_degs/b1_tcga/UCEC_edgeR.tsv	cc8de43c256b4b4e493d025b8125bdc42e2a070713f8c4ea1b80c963371f8498	23000	mixed_or_unknown	True	True	2026-05-15T20:30:04	verified	tcga_cancer	15604
tcga_cancer__UCEC_limma	phase2 regen (tcga_cancer)	UCEC	limma	/mnt/nvme1/omics-audit/phase2/per_gene_degs/b1_tcga/UCEC_limma.tsv	67f8cf96a37298a8bad52a9498683d8c11081987801f3391c3ff09f4b4200b9e	23000	symbol_human	True	True	2026-05-15T20:30:07	verified	tcga_cancer	14638
census_scrna__16023185_pseudobulk	phase2 regen (census_scrna)	16023185	pseudobulk	/mnt/nvme1/omics-audit/phase2/per_gene_degs/p4_census/16023185_pseudobulk.tsv	e8527dac48c9c74b9df28d7cbe992b74a394486b8a9ca262ab5cf0d82a4a63dd	10000	ensembl_human	True	True	2026-05-16T00:07:32	verified	census_scrna	2223
census_scrna__16023185_wilcoxon	phase2 regen (census_scrna)	16023185	wilcoxon	/mnt/nvme1/omics-audit/phase2/per_gene_degs/p4_census/16023185_wilcoxon.tsv	55b16e85204108a447839d0f074588c684a46e926eddae8a51429f21b2bd5ebf	10000	ensembl_human	True	True	2026-05-16T00:07:43	verified	census_scrna	9651
census_scrna__19053a82_pseudobulk	phase2 regen (census_scrna)	19053a82	pseudobulk	/mnt/nvme1/omics-audit/phase2/per_gene_degs/p4_census/19053a82_pseudobulk.tsv	a73e541c5811e4dbc614d56d0001020fbeaf1fa5ab82cca7cff6842518f7b5af	4776	symbol_human	True	True	2026-05-15T23:53:57	verified	census_scrna	42
census_scrna__19053a82_wilcoxon	phase2 regen (census_scrna)	19053a82	wilcoxon	/mnt/nvme1/omics-audit/phase2/per_gene_degs/p4_census/19053a82_wilcoxon.tsv	a46932744ac5a751913fe3c64d312aad585a0abf65f431e46fe01eb67d2e07b5	10000	mixed_or_unknown	True	True	2026-05-15T23:54:06	verified	census_scrna	7100
census_scrna__218acb0f_pseudobulk	phase2 regen (census_scrna)	218acb0f	pseudobulk	/mnt/nvme1/omics-audit/phase2/per_gene_degs/p4_census/218acb0f_pseudobulk.tsv	590c7f31cae2981afccfa76c02f6ae89cf7845fa2a27f797f679a717ea7a32f9	5078	ensembl_human	True	True	2026-05-15T23:47:55	verified	census_scrna	1463
census_scrna__218acb0f_wilcoxon	phase2 regen (census_scrna)	218acb0f	wilcoxon	/mnt/nvme1/omics-audit/phase2/per_gene_degs/p4_census/218acb0f_wilcoxon.tsv	890a2103c0298f920c3f25693c65b17c1fb826d7a592fc68d06a66d06b014e17	10000	ensembl_human	True	True	2026-05-15T23:48:03	verified	census_scrna	2404
census_scrna__37a17b78_pseudobulk	phase2 regen (census_scrna)	37a17b78	pseudobulk	/mnt/nvme1/omics-audit/phase2/per_gene_degs/p4_census/37a17b78_pseudobulk.tsv	1f3fcaaf8228f8adf622764f48e4f312541a5553332d9b9db64575adbbe0c4ef	5892	mixed_or_unknown	True	True	2026-05-15T21:02:17	verified	census_scrna	386
census_scrna__37a17b78_wilcoxon	phase2 regen (census_scrna)	37a17b78	wilcoxon	/mnt/nvme1/omics-audit/phase2/per_gene_degs/p4_census/37a17b78_wilcoxon.tsv	8d727fca0ec2eb07bfe0310b10faac243573f1833fa98593e380e8147f2de444	10000	mixed_or_unknown	True	True	2026-05-15T21:02:27	verified	census_scrna	1228
census_scrna__49e4ffcc_pseudobulk	phase2 regen (census_scrna)	49e4ffcc	pseudobulk	/mnt/nvme1/omics-audit/phase2/per_gene_degs/p4_census/49e4ffcc_pseudobulk.tsv	7a6d60b56da6f58ee8d51e725627fa6cfce9fb7692c7ba4c12cd416c08b29f24	9999	mixed_or_unknown	True	True	2026-05-16T00:31:14	verified	census_scrna	3386
census_scrna__49e4ffcc_wilcoxon	phase2 regen (census_scrna)	49e4ffcc	wilcoxon	/mnt/nvme1/omics-audit/phase2/per_gene_degs/p4_census/49e4ffcc_wilcoxon.tsv	e3bd63729b96278de7bb4a9de1edf7c371ee9c758656a5d55c29f10be521f040	9999	mixed_or_unknown	True	True	2026-05-16T00:31:25	verified	census_scrna	8306
census_scrna__4a5b00e0_pseudobulk	phase2 regen (census_scrna)	4a5b00e0	pseudobulk	/mnt/nvme1/omics-audit/phase2/per_gene_degs/p4_census/4a5b00e0_pseudobulk.tsv	264e061a02cc412e8ad1f02c77a9abea1d4b9a017248a4e2382232abd94e2437	9999	ensembl_human	True	True	2026-05-16T00:06:13	verified	census_scrna	516
census_scrna__4a5b00e0_wilcoxon	phase2 regen (census_scrna)	4a5b00e0	wilcoxon	/mnt/nvme1/omics-audit/phase2/per_gene_degs/p4_census/4a5b00e0_wilcoxon.tsv	8a4945a52c21acf927f6e1d1c9b7ec2824873114b6fb10b2197e3e1c49bb0339	10000	ensembl_human	True	True	2026-05-16T00:06:22	verified	census_scrna	5487
census_scrna__5c97eeeb_pseudobulk	phase2 regen (census_scrna)	5c97eeeb	pseudobulk	/mnt/nvme1/omics-audit/phase2/per_gene_degs/p4_census/5c97eeeb_pseudobulk.tsv	07e94fd6d71361476817b367e8abbcd722da79b394a9ac82610418c16ddd501d	10000	mixed_or_unknown	True	True	2026-05-15T23:46:27	verified	census_scrna	343
census_scrna__5c97eeeb_wilcoxon	phase2 regen (census_scrna)	5c97eeeb	wilcoxon	/mnt/nvme1/omics-audit/phase2/per_gene_degs/p4_census/5c97eeeb_wilcoxon.tsv	35adee9b1656bac2fd7b30f018a7d261624c9101cc67dbc7f1ded06df85b4a93	10000	mixed_or_unknown	True	True	2026-05-15T23:46:37	verified	census_scrna	2378
census_scrna__5d6d404a_wilcoxon	phase2 regen (census_scrna)	5d6d404a	wilcoxon	/mnt/nvme1/omics-audit/phase2/per_gene_degs/p4_census/5d6d404a_wilcoxon.tsv	1c5748e9445f95c3eb8fc3ca7ea26f151d586f7eb7e983eee7386cccf47a1fb6	10000	mixed_or_unknown	True	True	2026-05-16T00:32:02	verified	census_scrna	7922
census_scrna__5e57cd50_pseudobulk	phase2 regen (census_scrna)	5e57cd50	pseudobulk	/mnt/nvme1/omics-audit/phase2/per_gene_degs/p4_census/5e57cd50_pseudobulk.tsv	75453f847acedc55e204aca76fc2cd4a1337dd93a7bb1c57d885527b3ddf6fd7	10000	mixed_or_unknown	True	True	2026-05-15T23:57:07	verified	census_scrna	1
census_scrna__5e57cd50_wilcoxon	phase2 regen (census_scrna)	5e57cd50	wilcoxon	/mnt/nvme1/omics-audit/phase2/per_gene_degs/p4_census/5e57cd50_wilcoxon.tsv	dc09b5c47b940cbf67aadc760676846ce57689d689e0066766d5ca43e5e4682e	10000	mixed_or_unknown	True	True	2026-05-15T23:57:18	verified	census_scrna	4879
census_scrna__67b6b9ac_pseudobulk	phase2 regen (census_scrna)	67b6b9ac	pseudobulk	/mnt/nvme1/omics-audit/phase2/per_gene_degs/p4_census/67b6b9ac_pseudobulk.tsv	554eb616f28a186f3a5fbcf6da1b958d477c45aba77e7a3a4021e38a634d8c2b	8835	mixed_or_unknown	True	True	2026-05-15T23:49:37	verified	census_scrna	539
census_scrna__67b6b9ac_wilcoxon	phase2 regen (census_scrna)	67b6b9ac	wilcoxon	/mnt/nvme1/omics-audit/phase2/per_gene_degs/p4_census/67b6b9ac_wilcoxon.tsv	1c94fec6205fdda2720842d22553b16113eab7c69dfcf0209da28390c2863a0f	10000	mixed_or_unknown	True	True	2026-05-15T23:49:43	verified	census_scrna	5771
census_scrna__6a270451_pseudobulk	phase2 regen (census_scrna)	6a270451	pseudobulk	/mnt/nvme1/omics-audit/phase2/per_gene_degs/p4_census/6a270451_pseudobulk.tsv	8e9516232d8f089f023b1d4dbc6fc105d941c88ec189f21c1054b0733c7b2da8	7648	symbol_human	True	True	2026-05-16T00:13:28	verified	census_scrna	4
census_scrna__6a270451_wilcoxon	phase2 regen (census_scrna)	6a270451	wilcoxon	/mnt/nvme1/omics-audit/phase2/per_gene_degs/p4_census/6a270451_wilcoxon.tsv	c12fbafb582e8ef94ed01f241230b8b9b3f052c08696304ddae8ac34fd54d496	9999	mixed_or_unknown	True	True	2026-05-16T00:13:31	verified	census_scrna	1056
census_scrna__6f7fd0f1_pseudobulk	phase2 regen (census_scrna)	6f7fd0f1	pseudobulk	/mnt/nvme1/omics-audit/phase2/per_gene_degs/p4_census/6f7fd0f1_pseudobulk.tsv	a42595b7e673eb947617e4c2d0d8ed6185b6e613d0708152f835e328a6a92545	10000	mixed_or_unknown	True	True	2026-05-16T00:28:52	verified	census_scrna	1809
