dataset_id	chemistry	species	tissue_class	tool_a	tool_b	n_common_genes	n_common_cells	rho_gene_total	rho_cell_total_umi	log2_median	log2_iqr	log2_p05	log2_p95	pct_A_higher	pct_B_higher	pct_tie	det_rate_A	det_rate_B	det_rate_A_intersect	det_rate_B_intersect
10x_pbmc_4k_v2	3p_v2	human	PBMC	star_cr_mimic	kb_count	63241	280600	0.921933489003524	0.9703762322759311	0.0	0.15170682174447317	-1.8073549220576042	0.0	0.02654923230182951	0.39700510744611883	0.5764456602520517	0.41985420850397687	0.49150076690754413	0.41985420850397687	0.49150076690754413
10x_pbmc_4k_v2	3p_v2	human	PBMC	alevin_fry	kb_count	189723	211597	0.4789328509873398	0.981862305693168	0.0	3.2352164616940318	-8.483815777264256	0.0	0.0023876915292294558	0.48773738555683815	0.5098749229139324	0.2879830068046573	0.49150076690754413	0.11508356920352303	0.49150076690754413
10x_pbmc_5k_v3.1	3p_v3	human	PBMC	star_default	star_cr_mimic	63241	520463	0.9903946333033236	0.8448520235009015	0.0	0.0	-0.08017034868398333	0.0	0.04318401037301751	0.23402539491785393	0.7227905947091285	0.45356651539349474	0.4510681361774798	0.45356651539349474	0.4510681361774798
10x_pbmc_5k_v3.1	3p_v3	human	PBMC	star_default	alevin_fry	63241	87055	0.5564466641549471	0.9629929012527112	0.0	2.807354922057604	0.0	8.758223214726724	0.4449486883509116	0.00698913679416834	0.54806217485492	0.45356651539349474	0.3145322391064868	0.45356651539349474	0.14643980961717873
10x_pbmc_5k_v3.1	3p_v3	human	PBMC	star_default	kb_count	63241	507058	0.9586095838527767	0.8174157877284428	0.0	0.026594210011713124	-1.0	0.10691520391651187	0.08070713619329233	0.2890213627235496	0.6302715010831581	0.45356651539349474	0.4785661200803276	0.45356651539349474	0.4785661200803276
10x_pbmc_5k_v3.1	3p_v3	human	PBMC	star_cr_mimic	alevin_fry	63241	87054	0.5586988214569681	0.9661253776990263	0.0	2.807354922057604	0.0	8.791162888555018	0.4431618728356604	0.006356635726822789	0.5504814914375168	0.4510681361774798	0.3145322391064868	0.4510681361774798	0.14643980961717873
10x_pbmc_5k_v3.1	3p_v3	human	PBMC	star_cr_mimic	kb_count	63241	507228	0.9599571835145249	0.9012251908375949	0.0	0.0	-1.0	0.12553088208385882	0.1429294286934109	0.21846586866115336	0.6386047026454357	0.4510681361774798	0.4785661200803276	0.4510681361774798	0.4785661200803276
10x_pbmc_5k_v3.1	3p_v3	human	PBMC	alevin_fry	kb_count	189723	86353	0.5549570982798638	0.9704640974654063	0.0	2.807354922057604	-8.794415866350105	0.0	0.004095444411062444	0.4714979206527411	0.5244066349361964	0.3145322391064868	0.4785661200803276	0.14643980961717873	0.4785661200803276
10x_pbmc_10k_v3.1	3p_v3	human	PBMC	star_default	star_cr_mimic	63241	1396909	0.9913453019564277	0.8797924214080364	0.0	0.0	-0.05246741989413553	0.12553088208385882	0.08583039483879129	0.24646985341787764	0.6676997517433311	0.5367562182761183	0.5327240239717904	0.5367562182761183	0.5327240239717904
10x_pbmc_10k_v3.1	3p_v3	human	PBMC	star_default	alevin_fry	63241	120339	0.6065499902107461	0.9772977201980398	0.6872503822929399	3.700439718141092	0.0	9.639340708652231	0.5259878876045603	0.009645641277019655	0.46436647111842	0.5367562182761183	0.3728277541468351	0.5367562182761183	0.19760914596543383
