dataset_id	tissue	organism	dataset_size_cells	threshold	genes_total	genes_retained	cells_retained	hvg_overlap	pct_hvg_lost	median_genes_per_cell
a12ccb9b-4fbe-457d-8590-ac78053259ef	kidney	Homo sapiens	30000	10	61497	27490	30000	0.995	0.25	1915.0
a12ccb9b-4fbe-457d-8590-ac78053259ef	kidney	Homo sapiens	30000	20	61497	25379	30000	0.9851	0.75	1914.0
a12ccb9b-4fbe-457d-8590-ac78053259ef	kidney	Homo sapiens	30000	50	61497	22313	30000	0.9637	1.85	1911.0
9f222629-9e39-47d0-b83f-e08d610c7479	respiratory system	Homo sapiens	30000	1	61497	28594	30000	0.994	0.3	1557.0
9f222629-9e39-47d0-b83f-e08d610c7479	respiratory system	Homo sapiens	30000	3	61497	26693	30000	1.0	0.0	1557.0
9f222629-9e39-47d0-b83f-e08d610c7479	respiratory system	Homo sapiens	30000	5	61497	25605	30000	0.993	0.35	1556.5
9f222629-9e39-47d0-b83f-e08d610c7479	respiratory system	Homo sapiens	30000	10	61497	23935	30000	0.9763	1.2	1556.0
9f222629-9e39-47d0-b83f-e08d610c7479	respiratory system	Homo sapiens	30000	20	61497	22089	30000	0.9361	3.3	1555.0
9f222629-9e39-47d0-b83f-e08d610c7479	respiratory system	Homo sapiens	30000	50	61497	19476	30000	0.8692	7.0	1553.0
29244e1d-02e6-4133-b411-516ef7474638	endocrine gland	Homo sapiens	30000	1	61497	28674	30000	0.924	3.95	1206.0
29244e1d-02e6-4133-b411-516ef7474638	endocrine gland	Homo sapiens	30000	3	61497	25300	30000	1.0	0.0	1206.0
29244e1d-02e6-4133-b411-516ef7474638	endocrine gland	Homo sapiens	30000	5	61497	23792	30000	0.9503	2.55	1206.0
29244e1d-02e6-4133-b411-516ef7474638	endocrine gland	Homo sapiens	30000	10	61497	21686	30000	0.8536	7.9	1206.0
29244e1d-02e6-4133-b411-516ef7474638	endocrine gland	Homo sapiens	30000	20	61497	19657	30000	0.7544	14.0	1205.0
29244e1d-02e6-4133-b411-516ef7474638	endocrine gland	Homo sapiens	30000	50	61497	17217	30000	0.6155	23.8	1204.0
cd2f23c1-aef1-48ae-8eb4-0bcf124e567d	bone marrow	Homo sapiens	30000	1	61497	24225	30000	0.9881	0.6	1237.0
cd2f23c1-aef1-48ae-8eb4-0bcf124e567d	bone marrow	Homo sapiens	30000	3	61497	21497	30000	1.0	0.0	1237.0
cd2f23c1-aef1-48ae-8eb4-0bcf124e567d	bone marrow	Homo sapiens	30000	5	61497	20326	30000	0.99	0.5	1237.0
cd2f23c1-aef1-48ae-8eb4-0bcf124e567d	bone marrow	Homo sapiens	30000	10	61497	18757	30000	0.9675	1.65	1237.0
cd2f23c1-aef1-48ae-8eb4-0bcf124e567d	bone marrow	Homo sapiens	30000	20	61497	17177	30000	0.9314	3.55	1236.0
cd2f23c1-aef1-48ae-8eb4-0bcf124e567d	bone marrow	Homo sapiens	30000	50	61497	15122	30000	0.8692	7.0	1234.0
dcfd4feb-18a3-4b30-81d7-1b0c544a8ab3	embryo	Mus musculus	30000	1	53384	32854	30000	0.9822	0.9	1573.0
dcfd4feb-18a3-4b30-81d7-1b0c544a8ab3	embryo	Mus musculus	30000	3	53384	28395	30000	1.0	0.0	1573.0
dcfd4feb-18a3-4b30-81d7-1b0c544a8ab3	embryo	Mus musculus	30000	5	53384	26593	30000	0.9831	0.85	1573.0
dcfd4feb-18a3-4b30-81d7-1b0c544a8ab3	embryo	Mus musculus	30000	10	53384	24430	30000	0.9531	2.4	1573.0
dcfd4feb-18a3-4b30-81d7-1b0c544a8ab3	embryo	Mus musculus	30000	20	53384	22377	30000	0.9039	5.05	1572.0
dcfd4feb-18a3-4b30-81d7-1b0c544a8ab3	embryo	Mus musculus	30000	50	53384	19721	30000	0.8149	10.2	1570.0
d7291f04-fbbb-4d65-990a-f01fa44e915b	brain	Mus musculus	30000	1	53384	25257	30000	0.997	0.15	4096.0
d7291f04-fbbb-4d65-990a-f01fa44e915b	brain	Mus musculus	30000	3	53384	23723	30000	1.0	0.0	4096.0
d7291f04-fbbb-4d65-990a-f01fa44e915b	brain	Mus musculus	30000	5	53384	22879	30000	0.994	0.3	4096.0
d7291f04-fbbb-4d65-990a-f01fa44e915b	brain	Mus musculus	30000	10	53384	21591	30000	0.9851	0.75	4096.0
d7291f04-fbbb-4d65-990a-f01fa44e915b	brain	Mus musculus	30000	20	53384	20306	30000	0.9637	1.85	4095.0
d7291f04-fbbb-4d65-990a-f01fa44e915b	brain	Mus musculus	30000	50	53384	18433	30000	0.9277	3.75	4093.0
23f77ae6-10af-4307-b136-76b26654ae7d	eye	Mus musculus	30000	1	53384	26417	30000	0.993	0.35	2257.5
23f77ae6-10af-4307-b136-76b26654ae7d	eye	Mus musculus	30000	3	53384	24300	30000	1.0	0.0	2257.0
23f77ae6-10af-4307-b136-76b26654ae7d	eye	Mus musculus	30000	5	53384	23210	30000	0.995	0.25	2257.0
23f77ae6-10af-4307-b136-76b26654ae7d	eye	Mus musculus	30000	10	53384	21729	30000	0.9802	1.0	2256.0
23f77ae6-10af-4307-b136-76b26654ae7d	eye	Mus musculus	30000	20	53384	20090	30000	0.9541	2.35	2255.5
23f77ae6-10af-4307-b136-76b26654ae7d	eye	Mus musculus	30000	50	53384	18131	30000	0.9148	4.45	2253.5
49e4ffcc-5444-406d-bdee-577127404ba8	pancreas	Mus musculus	30000	1	53384	24163	30000	0.9792	1.05	2813.0
49e4ffcc-5444-406d-bdee-577127404ba8	pancreas	Mus musculus	30000	3	53384	21911	30000	1.0	0.0	2813.0
49e4ffcc-5444-406d-bdee-577127404ba8	pancreas	Mus musculus	30000	5	53384	20860	30000	0.9782	1.1	2813.0
49e4ffcc-5444-406d-bdee-577127404ba8	pancreas	Mus musculus	30000	10	53384	19618	30000	0.9249	3.9	2812.5
49e4ffcc-5444-406d-bdee-577127404ba8	pancreas	Mus musculus	30000	20	53384	18410	30000	0.8806	6.35	2812.0
49e4ffcc-5444-406d-bdee-577127404ba8	pancreas	Mus musculus	30000	50	53384	16993	30000	0.8198	9.9	2811.0
25818bf7-e2a7-41ec-8ff2-bc369c0ff4f5	kidney	Mus musculus	30000	1	53384	26033	30000	0.997	0.15	1480.0
25818bf7-e2a7-41ec-8ff2-bc369c0ff4f5	kidney	Mus musculus	30000	3	53384	23662	30000	1.0	0.0	1479.5
25818bf7-e2a7-41ec-8ff2-bc369c0ff4f5	kidney	Mus musculus	30000	5	53384	22469	30000	0.9851	0.75	1479.0
25818bf7-e2a7-41ec-8ff2-bc369c0ff4f5	kidney	Mus musculus	30000	10	53384	20865	30000	0.9685	1.6	1479.0
25818bf7-e2a7-41ec-8ff2-bc369c0ff4f5	kidney	Mus musculus	30000	20	53384	19334	30000	0.9465	2.75	1478.0
25818bf7-e2a7-41ec-8ff2-bc369c0ff4f5	kidney	Mus musculus	30000	50	53384	17193	30000	0.8877	5.95	1476.0
6c6b4c47-096d-4084-97e7-714ee10c556c	exocrine gland	Mus musculus	30000	1	53384	20610	30000	0.994	0.3	1711.0
6c6b4c47-096d-4084-97e7-714ee10c556c	exocrine gland	Mus musculus	30000	3	53384	19451	30000	1.0	0.0	1711.0
6c6b4c47-096d-4084-97e7-714ee10c556c	exocrine gland	Mus musculus	30000	5	53384	18685	30000	0.999	0.05	1711.0
6c6b4c47-096d-4084-97e7-714ee10c556c	exocrine gland	Mus musculus	30000	10	53384	17650	30000	0.992	0.4	1711.0
