dataset_id	tissue	organism	tool	cell_type	precision	recall	f1	n_cells
d7dcfd8f-2ee7-4385-b9ac-e074c23ed190	kidney	Homo sapiens	MarkerScore	Macrophages	0.9522330097087378	0.9615686274509804	0.9568780487804878	2550
d7dcfd8f-2ee7-4385-b9ac-e074c23ed190	kidney	Homo sapiens	MarkerScore	NK cells	0.8488943488943489	0.8927648578811369	0.8702770780856424	774
d7dcfd8f-2ee7-4385-b9ac-e074c23ed190	kidney	Homo sapiens	MarkerScore	T cells	0.8194945848375451	0.8884540117416829	0.8525821596244132	511
acd544d0-4d8b-46c7-98b3-fc48f7e6fdb7	musculature	Homo sapiens	MarkerScore	Endothelial	0.4244652406417112	0.7706310679611651	0.5474137931034483	824
acd544d0-4d8b-46c7-98b3-fc48f7e6fdb7	musculature	Homo sapiens	MarkerScore	Fibroblasts	0.7654504839910647	0.9097345132743363	0.8313788920339669	5650
acd544d0-4d8b-46c7-98b3-fc48f7e6fdb7	musculature	Homo sapiens	MarkerScore	Hepatocytes	0.0	0.0	0.0	0
acd544d0-4d8b-46c7-98b3-fc48f7e6fdb7	musculature	Homo sapiens	MarkerScore	Macrophages	0.8998482549317147	0.3001012145748988	0.45009487666034154	1976
acd544d0-4d8b-46c7-98b3-fc48f7e6fdb7	musculature	Homo sapiens	MarkerScore	NK cells	0.34146341463414637	0.2	0.25225225225225223	140
acd544d0-4d8b-46c7-98b3-fc48f7e6fdb7	musculature	Homo sapiens	MarkerScore	T cells	0.8275862068965517	0.060759493670886074	0.11320754716981132	395
7bb64315-9e5a-41b9-9235-59acf9642a3e	stomach	Homo sapiens	MarkerScore	Endothelial	0.534201052340072	0.972768532526475	0.6896675008938148	1983
7bb64315-9e5a-41b9-9235-59acf9642a3e	stomach	Homo sapiens	MarkerScore	Fibroblasts	0.9755182625863771	0.8587069864442127	0.9133931047231721	5754
7bb64315-9e5a-41b9-9235-59acf9642a3e	stomach	Homo sapiens	MarkerScore	Hepatocytes	0.0	0.0	0.0	0
7bb64315-9e5a-41b9-9235-59acf9642a3e	stomach	Homo sapiens	MarkerScore	Macrophages	0.9426070038910506	0.8841240875912408	0.9124293785310734	1096
7bb64315-9e5a-41b9-9235-59acf9642a3e	stomach	Homo sapiens	MarkerScore	NK cells	0.43807574206755373	0.7353951890034365	0.5490699166132136	582
7bb64315-9e5a-41b9-9235-59acf9642a3e	stomach	Homo sapiens	MarkerScore	T cells	0.926226012793177	0.5978530140379852	0.7266644362663098	3633
b61a921b-7fa3-4b42-b455-aaaf32447920	respiratory system	Homo sapiens	MarkerScore	Endothelial	0.18375918795939797	0.9130434782608695	0.30594405594405594	575
b61a921b-7fa3-4b42-b455-aaaf32447920	respiratory system	Homo sapiens	MarkerScore	Fibroblasts	0.8781542898341744	0.99185667752443	0.931548757170172	1228
b61a921b-7fa3-4b42-b455-aaaf32447920	respiratory system	Homo sapiens	MarkerScore	Macrophages	0.8505182760501909	0.9500304692260817	0.897524467472654	1641
