gene	cell_type	organism	tissue	n_datasets	mean_AUC	sd_AUC	ci_lower	ci_upper	mw_pval	reliability_score
APOB	Macrophages	Mus musculus	multiple	16	0.48	0.0714	0.4774	0.4832	0.00e+00	0.4458
APOB	Endothelial	Mus musculus	multiple	16	0.4746	0.0636	0.4724	0.4771	0.00e+00	0.4445
APOB	Fibroblasts	Mus musculus	multiple	13	0.4745	0.0656	0.4668	0.4858	4.00e-261	0.4434
CD3D	NK cells	Homo sapiens	multiple	9	0.5111	0.1327	0.4923	0.5405	0.00e+00	0.4432
MARCO	Hepatocytes	Homo sapiens	multiple	7	0.463	0.0466	0.4598	0.4668	0.00e+00	0.4414
C1QA	Endothelial	Homo sapiens	multiple	11	0.4595	0.041	0.4536	0.466	0.00e+00	0.4407
CD68	Endothelial	Homo sapiens	multiple	11	0.4591	0.0409	0.4544	0.4641	0.00e+00	0.4403
CD8A	Macrophages	Homo sapiens	multiple	10	0.4612	0.0458	0.458	0.4646	0.00e+00	0.44
VWF	T cells	Homo sapiens	multiple	11	0.4575	0.0383	0.4538	0.4613	0.00e+00	0.4399
ALB	Fibroblasts	Mus musculus	multiple	9	0.4769	0.0783	0.4719	0.4826	9.18e-181	0.4396
CYP3A4	T cells	Mus musculus	multiple	7	0.4745	0.0748	0.4714	0.4781	9.78e-148	0.439
KLRD1	Macrophages	Homo sapiens	multiple	10	0.457	0.0396	0.4518	0.4623	0.00e+00	0.4389
ALB	T cells	Mus musculus	multiple	10	0.4765	0.0789	0.4727	0.481	2.31e-208	0.4389
CD3E	Endothelial	Mus musculus	multiple	16	0.4713	0.0689	0.467	0.4762	0.00e+00	0.4389
MRC1	T cells	Mus musculus	multiple	13	0.4648	0.0568	0.4586	0.4715	0.00e+00	0.4384
PECAM1	Fibroblasts	Mus musculus	multiple	14	0.4592	0.0455	0.4455	0.4774	0.00e+00	0.4383
CD3D	Endothelial	Mus musculus	multiple	17	0.4707	0.0703	0.4662	0.476	0.00e+00	0.4376
CD68	Hepatocytes	Homo sapiens	multiple	7	0.4575	0.044	0.4499	0.4656	0.00e+00	0.4374
CD3E	Macrophages	Mus musculus	multiple	16	0.4703	0.0715	0.4669	0.4738	0.00e+00	0.4366
